Measured on 11:32:22 22/11/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	97.000
Focus 1 (%): 	68.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 2 grid, sup grid

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.400
Sweep step (V): 	50.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	1.794E-10
5.000E-2	1.797E-10
1.000E-1	1.791E-10
1.500E-1	1.788E-10
2.000E-1	1.786E-10
2.500E-1	1.780E-10
3.000E-1	1.776E-10
3.500E-1	1.773E-10
4.000E-1	1.772E-10
4.500E-1	1.771E-10
5.000E-1	1.770E-10
5.500E-1	1.775E-10
6.000E-1	1.777E-10
6.500E-1	1.779E-10
7.000E-1	1.783E-10
7.500E-1	1.790E-10
8.000E-1	1.794E-10
8.500E-1	1.798E-10
9.000E-1	1.804E-10
9.500E-1	1.811E-10
1.000E+0	1.815E-10
1.050E+0	1.820E-10
1.100E+0	1.826E-10
1.150E+0	1.832E-10
1.200E+0	1.836E-10
1.250E+0	1.843E-10
1.300E+0	1.851E-10
1.350E+0	1.856E-10
1.400E+0	1.859E-10
1.450E+0	1.861E-10
1.500E+0	1.860E-10
1.550E+0	1.857E-10
1.600E+0	1.854E-10
1.650E+0	1.854E-10
1.700E+0	1.852E-10
1.750E+0	1.851E-10
1.800E+0	1.851E-10
1.850E+0	1.850E-10
1.900E+0	1.849E-10
1.950E+0	1.850E-10
2.000E+0	1.852E-10
2.050E+0	1.855E-10
2.100E+0	1.861E-10
2.150E+0	1.869E-10
2.200E+0	1.876E-10
2.250E+0	1.881E-10
2.300E+0	1.882E-10
2.350E+0	1.883E-10
2.400E+0	1.884E-10
2.450E+0	1.883E-10
2.500E+0	1.882E-10
2.550E+0	1.884E-10
2.600E+0	1.883E-10
2.650E+0	1.885E-10
2.700E+0	1.888E-10
2.750E+0	1.889E-10
2.800E+0	1.880E-10
2.850E+0	1.875E-10
2.900E+0	1.871E-10
2.950E+0	1.872E-10
3.000E+0	1.869E-10
3.050E+0	1.875E-10
3.100E+0	1.875E-10
3.150E+0	1.873E-10
3.200E+0	1.906E-10
3.250E+0	1.952E-10
3.300E+0	1.989E-10
3.350E+0	2.024E-10
3.400E+0	2.079E-10
3.450E+0	2.137E-10
3.500E+0	2.160E-10
3.550E+0	2.166E-10
3.600E+0	2.183E-10
3.650E+0	2.200E-10
3.700E+0	2.197E-10
3.750E+0	2.205E-10
3.800E+0	2.158E-10
3.850E+0	2.051E-10
3.900E+0	1.980E-10
3.950E+0	1.888E-10
4.000E+0	5.444E-11
4.050E+0	-1.848E-13
4.100E+0	-1.344E-13
4.150E+0	-1.389E-13
4.200E+0	-1.641E-13
4.250E+0	-1.375E-13
4.300E+0	-1.063E-13
4.350E+0	-1.385E-13
4.400E+0	-1.475E-13
