Measured on 14:10:41 06/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 supp man -600V
Projectile: 	 Ar

Energy (V): 	1000.000
Extractor (%): 	99.000
Focus 1 (%): 	67.000
Focus 2 (%): 	6.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-500.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	69.000

Sweep start (kV): 	0.000
Sweep end (kV): 	1.100
Sweep step (V): 	15.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	7.283E-12
1.500E-2	7.316E-12
3.000E-2	7.280E-12
4.500E-2	7.412E-12
6.000E-2	7.275E-12
7.500E-2	7.106E-12
9.000E-2	7.262E-12
1.050E-1	7.204E-12
1.200E-1	7.256E-12
1.350E-1	7.298E-12
1.500E-1	7.284E-12
1.650E-1	7.352E-12
1.800E-1	7.360E-12
1.950E-1	7.286E-12
2.100E-1	7.333E-12
2.250E-1	7.305E-12
2.400E-1	7.300E-12
2.550E-1	7.350E-12
2.700E-1	7.393E-12
2.850E-1	7.313E-12
3.000E-1	7.293E-12
3.150E-1	7.361E-12
3.300E-1	7.413E-12
3.450E-1	7.355E-12
3.600E-1	7.371E-12
3.750E-1	7.333E-12
3.900E-1	7.301E-12
4.050E-1	7.364E-12
4.200E-1	7.375E-12
4.350E-1	7.366E-12
4.500E-1	7.321E-12
4.650E-1	7.392E-12
4.800E-1	7.414E-12
4.950E-1	7.364E-12
5.100E-1	7.382E-12
5.250E-1	7.409E-12
5.400E-1	7.443E-12
5.550E-1	7.425E-12
5.700E-1	7.412E-12
5.850E-1	7.346E-12
6.000E-1	7.444E-12
6.150E-1	7.419E-12
6.300E-1	7.391E-12
6.450E-1	7.369E-12
6.600E-1	7.370E-12
6.750E-1	7.422E-12
6.900E-1	7.358E-12
7.050E-1	7.397E-12
7.200E-1	7.421E-12
7.350E-1	7.428E-12
7.500E-1	7.485E-12
7.650E-1	7.447E-12
7.800E-1	7.467E-12
7.950E-1	7.419E-12
8.100E-1	7.441E-12
8.250E-1	7.490E-12
8.400E-1	7.501E-12
8.550E-1	7.534E-12
8.700E-1	7.518E-12
8.850E-1	7.572E-12
9.000E-1	7.580E-12
9.150E-1	7.645E-12
9.300E-1	7.747E-12
9.450E-1	7.860E-12
9.600E-1	8.069E-12
9.750E-1	8.317E-12
9.900E-1	7.323E-12
1.005E+0	4.140E-12
1.020E+0	-5.704E-15
1.035E+0	-3.117E-13
1.050E+0	-3.828E-13
1.065E+0	-4.166E-13
1.080E+0	-2.900E-13
1.095E+0	-4.015E-13
