Measured on 12:22:13 27/11/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	0.000
Comments: 	 2 retard grids, and supp grid.

Wien voltage (V): 	97.700

Sweep start (kV): 	0.000
Sweep end (kV): 	2.200
Sweep step (V): 	10.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.030E-10
1.000E-2	2.052E-10
2.000E-2	2.057E-10
3.000E-2	2.059E-10
4.000E-2	2.064E-10
5.000E-2	2.071E-10
6.000E-2	2.076E-10
7.000E-2	2.074E-10
8.000E-2	2.080E-10
9.000E-2	2.085E-10
1.000E-1	2.085E-10
1.100E-1	2.087E-10
1.200E-1	2.090E-10
1.300E-1	2.090E-10
1.400E-1	2.091E-10
1.500E-1	2.095E-10
1.600E-1	2.100E-10
1.700E-1	2.101E-10
1.800E-1	2.107E-10
1.900E-1	2.109E-10
2.000E-1	2.112E-10
2.100E-1	2.117E-10
2.200E-1	2.118E-10
2.300E-1	2.117E-10
2.400E-1	2.119E-10
2.500E-1	2.124E-10
2.600E-1	2.124E-10
2.700E-1	2.128E-10
2.800E-1	2.132E-10
2.900E-1	2.134E-10
3.000E-1	2.139E-10
3.100E-1	2.140E-10
3.200E-1	2.145E-10
3.300E-1	2.144E-10
3.400E-1	2.155E-10
3.500E-1	2.155E-10
3.600E-1	2.158E-10
3.700E-1	2.162E-10
3.800E-1	2.163E-10
3.900E-1	2.169E-10
4.000E-1	2.168E-10
4.100E-1	2.167E-10
4.200E-1	2.172E-10
4.300E-1	2.180E-10
4.400E-1	2.182E-10
4.500E-1	2.188E-10
4.600E-1	2.187E-10
4.700E-1	2.186E-10
4.800E-1	2.194E-10
4.900E-1	2.196E-10
5.000E-1	2.205E-10
5.100E-1	2.205E-10
5.200E-1	2.207E-10
5.300E-1	2.208E-10
5.400E-1	2.216E-10
5.500E-1	2.222E-10
5.600E-1	2.219E-10
5.700E-1	2.220E-10
5.800E-1	2.226E-10
5.900E-1	2.234E-10
6.000E-1	2.239E-10
6.100E-1	2.240E-10
6.200E-1	2.248E-10
6.300E-1	2.247E-10
6.400E-1	2.252E-10
6.500E-1	2.251E-10
6.600E-1	2.256E-10
6.700E-1	2.261E-10
6.800E-1	2.267E-10
6.900E-1	2.273E-10
7.000E-1	2.269E-10
7.100E-1	2.270E-10
7.200E-1	2.276E-10
7.300E-1	2.278E-10
7.400E-1	2.279E-10
7.500E-1	2.277E-10
7.600E-1	2.283E-10
7.700E-1	2.282E-10
7.800E-1	2.285E-10
7.900E-1	2.286E-10
8.000E-1	2.287E-10
8.100E-1	2.291E-10
8.200E-1	2.284E-10
8.300E-1	2.288E-10
8.400E-1	2.289E-10
8.500E-1	2.291E-10
8.600E-1	2.295E-10
8.700E-1	2.296E-10
8.800E-1	2.298E-10
8.900E-1	2.296E-10
9.000E-1	2.298E-10
9.100E-1	2.294E-10
9.200E-1	2.295E-10
9.300E-1	2.296E-10
9.400E-1	2.304E-10
9.500E-1	2.300E-10
9.600E-1	2.302E-10
9.700E-1	2.306E-10
9.800E-1	2.309E-10
9.900E-1	2.311E-10
1.000E+0	2.319E-10
1.010E+0	2.318E-10
1.020E+0	2.323E-10
1.030E+0	2.323E-10
1.040E+0	2.326E-10
1.050E+0	2.328E-10
1.060E+0	2.328E-10
1.070E+0	2.328E-10
1.080E+0	2.332E-10
1.090E+0	2.332E-10
1.100E+0	2.335E-10
1.110E+0	2.337E-10
1.120E+0	2.344E-10
1.130E+0	2.348E-10
1.140E+0	2.352E-10
1.150E+0	2.357E-10
1.160E+0	2.354E-10
1.170E+0	2.359E-10
1.180E+0	2.360E-10
1.190E+0	2.358E-10
1.200E+0	2.360E-10
1.210E+0	2.360E-10
1.220E+0	2.359E-10
1.230E+0	2.363E-10
1.240E+0	2.371E-10
1.250E+0	2.374E-10
1.260E+0	2.378E-10
1.270E+0	2.382E-10
1.280E+0	2.386E-10
1.290E+0	2.385E-10
1.300E+0	2.387E-10
1.310E+0	2.389E-10
1.320E+0	2.396E-10
1.330E+0	2.403E-10
1.340E+0	2.407E-10
1.350E+0	2.409E-10
1.360E+0	2.417E-10
1.370E+0	2.421E-10
1.380E+0	2.423E-10
1.390E+0	2.428E-10
1.400E+0	2.429E-10
1.410E+0	2.431E-10
1.420E+0	2.435E-10
1.430E+0	2.440E-10
1.440E+0	2.435E-10
1.450E+0	2.440E-10
1.460E+0	2.450E-10
1.470E+0	2.453E-10
1.480E+0	2.453E-10
1.490E+0	2.457E-10
1.500E+0	2.468E-10
1.510E+0	2.481E-10
1.520E+0	2.479E-10
1.530E+0	2.489E-10
1.540E+0	2.486E-10
1.550E+0	2.500E-10
1.560E+0	2.503E-10
1.570E+0	2.497E-10
1.580E+0	2.505E-10
1.590E+0	2.503E-10
1.600E+0	2.504E-10
1.610E+0	2.520E-10
1.620E+0	2.539E-10
1.630E+0	2.548E-10
1.640E+0	2.577E-10
1.650E+0	2.592E-10
1.660E+0	2.615E-10
1.670E+0	2.641E-10
1.680E+0	2.656E-10
1.690E+0	2.688E-10
1.700E+0	2.716E-10
1.710E+0	2.750E-10
1.720E+0	2.792E-10
1.730E+0	2.821E-10
1.740E+0	2.851E-10
1.750E+0	2.887E-10
1.760E+0	2.926E-10
1.770E+0	2.947E-10
1.780E+0	2.971E-10
1.790E+0	2.997E-10
1.800E+0	3.010E-10
1.810E+0	3.018E-10
1.820E+0	3.034E-10
1.830E+0	3.060E-10
1.840E+0	3.084E-10
1.850E+0	3.101E-10
1.860E+0	3.127E-10
1.870E+0	3.156E-10
1.880E+0	3.171E-10
1.890E+0	3.178E-10
1.900E+0	3.185E-10
1.910E+0	3.184E-10
1.920E+0	3.175E-10
1.930E+0	3.123E-10
1.940E+0	3.037E-10
1.950E+0	2.951E-10
1.960E+0	2.933E-10
1.970E+0	3.022E-10
1.980E+0	3.102E-10
1.990E+0	3.193E-10
2.000E+0	3.217E-10
2.010E+0	2.934E-10
2.020E+0	2.256E-10
2.030E+0	1.295E-10
2.040E+0	3.917E-11
2.050E+0	-6.036E-13
2.060E+0	-4.975E-12
2.070E+0	-5.065E-12
2.080E+0	-5.073E-12
2.090E+0	-4.967E-12
2.100E+0	-4.887E-12
2.110E+0	-4.780E-12
2.120E+0	-4.791E-12
2.130E+0	-4.749E-12
2.140E+0	-4.820E-12
2.150E+0	-4.796E-12
2.160E+0	-4.790E-12
2.170E+0	-4.768E-12
2.180E+0	-4.767E-12
2.190E+0	-4.813E-12
2.200E+0	-4.761E-12
