Measured on 12:07:13 27/11/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 2 retard grids, and supp grid.

Wien voltage (V): 	97.700

Sweep start (kV): 	1.800
Sweep end (kV): 	2.200
Sweep step (V): 	1.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
1.800E+0	3.754E-10
1.801E+0	2.162E-10
1.802E+0	2.162E-10
1.803E+0	2.161E-10
1.804E+0	2.164E-10
1.805E+0	2.163E-10
1.806E+0	2.168E-10
1.807E+0	2.166E-10
1.808E+0	2.169E-10
1.809E+0	2.167E-10
1.810E+0	2.168E-10
1.811E+0	2.171E-10
1.812E+0	2.169E-10
1.813E+0	2.171E-10
1.814E+0	2.174E-10
1.815E+0	2.178E-10
1.816E+0	2.176E-10
1.817E+0	2.177E-10
1.818E+0	2.179E-10
1.819E+0	2.180E-10
1.820E+0	2.184E-10
1.821E+0	2.187E-10
1.822E+0	2.188E-10
1.823E+0	2.189E-10
1.824E+0	2.192E-10
1.825E+0	2.191E-10
1.826E+0	2.190E-10
1.827E+0	2.191E-10
1.828E+0	2.191E-10
1.829E+0	2.195E-10
1.830E+0	2.191E-10
1.831E+0	2.195E-10
1.832E+0	2.196E-10
1.833E+0	2.195E-10
1.834E+0	2.197E-10
1.835E+0	2.201E-10
1.836E+0	2.203E-10
1.837E+0	2.204E-10
1.838E+0	2.204E-10
1.839E+0	2.207E-10
1.840E+0	2.206E-10
1.841E+0	2.208E-10
1.842E+0	2.207E-10
1.843E+0	2.211E-10
1.844E+0	2.211E-10
1.845E+0	2.212E-10
1.846E+0	2.217E-10
1.847E+0	2.217E-10
1.848E+0	2.221E-10
1.849E+0	2.223E-10
1.850E+0	2.224E-10
1.851E+0	2.225E-10
1.852E+0	2.226E-10
1.853E+0	2.226E-10
1.854E+0	2.230E-10
1.855E+0	2.231E-10
1.856E+0	2.229E-10
1.857E+0	2.235E-10
1.858E+0	2.238E-10
1.859E+0	2.240E-10
1.860E+0	2.240E-10
1.861E+0	2.243E-10
1.862E+0	2.245E-10
1.863E+0	2.245E-10
1.864E+0	2.247E-10
1.865E+0	2.251E-10
1.866E+0	2.250E-10
1.867E+0	2.255E-10
1.868E+0	2.255E-10
1.869E+0	2.256E-10
1.870E+0	2.257E-10
1.871E+0	2.257E-10
1.872E+0	2.260E-10
1.873E+0	2.264E-10
1.874E+0	2.265E-10
1.875E+0	2.269E-10
1.876E+0	2.271E-10
1.877E+0	2.271E-10
1.878E+0	2.273E-10
1.879E+0	2.273E-10
1.880E+0	2.274E-10
1.881E+0	2.270E-10
1.882E+0	2.277E-10
1.883E+0	2.277E-10
1.884E+0	2.276E-10
1.885E+0	2.280E-10
1.886E+0	2.282E-10
1.887E+0	2.280E-10
1.888E+0	2.284E-10
1.889E+0	2.291E-10
1.890E+0	2.292E-10
1.891E+0	2.288E-10
1.892E+0	2.289E-10
1.893E+0	2.291E-10
1.894E+0	2.293E-10
1.895E+0	2.292E-10
1.896E+0	2.290E-10
1.897E+0	2.291E-10
1.898E+0	2.293E-10
1.899E+0	2.293E-10
1.900E+0	2.294E-10
1.901E+0	2.293E-10
1.902E+0	2.295E-10
1.903E+0	2.298E-10
1.904E+0	2.295E-10
1.905E+0	2.297E-10
1.906E+0	2.300E-10
1.907E+0	2.303E-10
1.908E+0	2.303E-10
1.909E+0	2.303E-10
1.910E+0	2.305E-10
1.911E+0	2.302E-10
1.912E+0	2.305E-10
1.913E+0	2.306E-10
1.914E+0	2.309E-10
1.915E+0	2.306E-10
1.916E+0	2.305E-10
1.917E+0	2.308E-10
1.918E+0	2.306E-10
1.919E+0	2.308E-10
1.920E+0	2.305E-10
1.921E+0	2.306E-10
1.922E+0	2.302E-10
1.923E+0	2.301E-10
1.924E+0	2.301E-10
1.925E+0	2.299E-10
1.926E+0	2.294E-10
1.927E+0	2.293E-10
1.928E+0	2.291E-10
1.929E+0	2.285E-10
1.930E+0	2.281E-10
1.931E+0	2.277E-10
1.932E+0	2.273E-10
1.933E+0	2.267E-10
1.934E+0	2.266E-10
1.935E+0	2.257E-10
1.936E+0	2.251E-10
1.937E+0	2.243E-10
1.938E+0	2.238E-10
1.939E+0	2.228E-10
1.940E+0	2.225E-10
1.941E+0	2.215E-10
1.942E+0	2.212E-10
1.943E+0	2.203E-10
1.944E+0	2.198E-10
1.945E+0	2.194E-10
1.946E+0	2.186E-10
1.947E+0	2.178E-10
1.948E+0	2.173E-10
1.949E+0	2.169E-10
1.950E+0	2.160E-10
1.951E+0	2.155E-10
1.952E+0	2.152E-10
1.953E+0	2.145E-10
1.954E+0	2.140E-10
1.955E+0	2.133E-10
1.956E+0	2.132E-10
1.957E+0	2.129E-10
1.958E+0	2.128E-10
1.959E+0	2.124E-10
1.960E+0	2.125E-10
1.961E+0	2.127E-10
1.962E+0	2.127E-10
1.963E+0	2.128E-10
1.964E+0	2.130E-10
1.965E+0	2.131E-10
1.966E+0	2.133E-10
1.967E+0	2.136E-10
1.968E+0	2.137E-10
1.969E+0	2.138E-10
1.970E+0	2.139E-10
1.971E+0	2.142E-10
1.972E+0	2.142E-10
1.973E+0	2.142E-10
1.974E+0	2.142E-10
1.975E+0	2.141E-10
1.976E+0	2.144E-10
1.977E+0	2.146E-10
1.978E+0	2.145E-10
1.979E+0	2.147E-10
1.980E+0	2.152E-10
1.981E+0	2.151E-10
1.982E+0	2.155E-10
1.983E+0	2.160E-10
1.984E+0	2.163E-10
1.985E+0	2.167E-10
1.986E+0	2.168E-10
1.987E+0	2.175E-10
1.988E+0	2.177E-10
1.989E+0	2.181E-10
1.990E+0	2.183E-10
1.991E+0	2.188E-10
1.992E+0	2.189E-10
1.993E+0	2.193E-10
1.994E+0	2.193E-10
1.995E+0	2.193E-10
1.996E+0	2.193E-10
1.997E+0	2.193E-10
1.998E+0	2.189E-10
1.999E+0	2.183E-10
2.000E+0	2.179E-10
2.001E+0	2.169E-10
2.002E+0	2.158E-10
2.003E+0	2.142E-10
2.004E+0	2.128E-10
2.005E+0	2.111E-10
2.006E+0	2.088E-10
2.007E+0	2.063E-10
2.008E+0	2.035E-10
2.009E+0	2.013E-10
2.010E+0	1.979E-10
2.011E+0	1.945E-10
2.012E+0	1.908E-10
2.013E+0	1.877E-10
2.014E+0	1.834E-10
2.015E+0	1.790E-10
2.016E+0	1.743E-10
2.017E+0	1.703E-10
2.018E+0	1.650E-10
2.019E+0	1.594E-10
2.020E+0	1.539E-10
2.021E+0	1.490E-10
2.022E+0	1.428E-10
2.023E+0	1.365E-10
2.024E+0	1.301E-10
2.025E+0	1.233E-10
2.026E+0	1.179E-10
2.027E+0	1.110E-10
2.028E+0	1.042E-10
2.029E+0	9.690E-11
2.030E+0	9.137E-11
2.031E+0	8.436E-11
2.032E+0	7.755E-11
2.033E+0	7.067E-11
2.034E+0	6.543E-11
2.035E+0	5.872E-11
2.036E+0	5.239E-11
2.037E+0	4.613E-11
2.038E+0	4.142E-11
2.039E+0	3.611E-11
2.040E+0	3.071E-11
2.041E+0	2.592E-11
2.042E+0	2.160E-11
2.043E+0	1.844E-11
2.044E+0	1.497E-11
2.045E+0	1.184E-11
2.046E+0	9.308E-12
2.047E+0	7.553E-12
2.048E+0	5.567E-12
2.049E+0	4.018E-12
2.050E+0	2.881E-12
2.051E+0	2.153E-12
2.052E+0	1.411E-12
2.053E+0	8.072E-13
2.054E+0	4.134E-13
2.055E+0	1.540E-13
2.056E+0	1.541E-14
2.057E+0	-7.682E-14
2.058E+0	-2.014E-13
2.059E+0	-2.857E-13
2.060E+0	-2.551E-13
2.061E+0	-3.267E-13
2.062E+0	-3.431E-13
2.063E+0	-3.271E-13
2.064E+0	-3.291E-13
2.065E+0	-3.168E-13
2.066E+0	-3.332E-13
2.067E+0	-3.517E-13
2.068E+0	-3.234E-13
2.069E+0	-3.107E-13
2.070E+0	-3.716E-13
2.071E+0	-3.207E-13
2.072E+0	-2.662E-13
2.073E+0	-3.627E-13
2.074E+0	-3.076E-13
2.075E+0	-3.197E-13
2.076E+0	-2.957E-13
2.077E+0	-3.062E-13
2.078E+0	-2.642E-13
2.079E+0	-2.482E-13
2.080E+0	-3.316E-13
2.081E+0	-3.099E-13
2.082E+0	-2.994E-13
2.083E+0	-2.748E-13
2.084E+0	-3.412E-13
2.085E+0	-2.781E-13
2.086E+0	-3.414E-13
2.087E+0	-3.662E-13
2.088E+0	-2.838E-13
2.089E+0	-3.293E-13
2.090E+0	-3.338E-13
2.091E+0	-3.511E-13
2.092E+0	-2.910E-13
2.093E+0	-3.623E-13
2.094E+0	-3.703E-13
2.095E+0	-2.883E-13
2.096E+0	-3.361E-13
2.097E+0	-3.242E-13
2.098E+0	-3.304E-13
2.099E+0	-3.589E-13
2.100E+0	-3.287E-13
2.101E+0	-3.630E-13
2.102E+0	-3.363E-13
2.103E+0	-3.361E-13
2.104E+0	-3.031E-13
2.105E+0	-3.472E-13
2.106E+0	-3.470E-13
2.107E+0	-2.754E-13
2.108E+0	-3.461E-13
2.109E+0	-3.134E-13
2.110E+0	-3.154E-13
2.111E+0	-3.361E-13
2.112E+0	-3.336E-13
2.113E+0	-3.646E-13
2.114E+0	-3.289E-13
2.115E+0	-3.183E-13
2.116E+0	-2.892E-13
2.117E+0	-3.597E-13
2.118E+0	-3.699E-13
2.119E+0	-2.822E-13
2.120E+0	-3.611E-13
2.121E+0	-3.144E-13
2.122E+0	-3.240E-13
2.123E+0	-3.246E-13
2.124E+0	-3.453E-13
2.125E+0	-3.478E-13
2.126E+0	-3.468E-13
2.127E+0	-3.181E-13
2.128E+0	-3.388E-13
2.129E+0	-3.668E-13
2.130E+0	-3.451E-13
2.131E+0	-3.615E-13
2.132E+0	-3.537E-13
2.133E+0	-3.570E-13
2.134E+0	-3.394E-13
2.135E+0	-3.295E-13
2.136E+0	-3.322E-13
2.137E+0	-3.814E-13
2.138E+0	-3.533E-13
2.139E+0	-3.023E-13
2.140E+0	-3.072E-13
2.141E+0	-3.677E-13
2.142E+0	-3.037E-13
2.143E+0	-3.064E-13
2.144E+0	-2.847E-13
2.145E+0	-3.150E-13
2.146E+0	-3.509E-13
2.147E+0	-3.429E-13
2.148E+0	-2.422E-13
2.149E+0	-3.304E-13
2.150E+0	-3.316E-13
2.151E+0	-2.695E-13
2.152E+0	-3.306E-13
2.153E+0	-3.474E-13
2.154E+0	-3.517E-13
2.155E+0	-2.994E-13
2.156E+0	-4.187E-13
