Measured on 10:32:47 27/11/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 2 retard grids, and supp grid.

Retarding voltage (kV): 	0.000
Mass correction factor: 	1.100

Sweep start (kV): 	100.000
Sweep end (kV): 	300.000
Sweep step (V): 	1.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Wien voltage (V)	Mean current FC (A)
1.000E+2	-9.076E-14
1.010E+2	9.175E-13
1.020E+2	2.663E-13
1.030E+2	1.470E-10
1.040E+2	-2.758E-13
1.050E+2	-2.594E-13
1.060E+2	-1.512E-13
1.070E+2	-2.336E-13
1.080E+2	-2.576E-13
1.090E+2	-1.973E-13
1.100E+2	-2.396E-13
1.110E+2	-2.310E-13
1.120E+2	-2.033E-13
1.130E+2	-2.053E-13
1.140E+2	-2.019E-13
1.150E+2	-1.930E-13
1.160E+2	-2.537E-13
1.170E+2	-2.170E-13
1.180E+2	-1.996E-13
1.190E+2	-2.037E-13
1.200E+2	-1.889E-13
1.210E+2	-2.123E-13
1.220E+2	-2.088E-13
1.230E+2	-2.308E-13
1.240E+2	-2.314E-13
1.250E+2	-2.250E-13
1.260E+2	-2.447E-13
1.270E+2	-2.117E-13
1.280E+2	-1.574E-13
1.290E+2	3.106E-13
1.300E+2	4.034E-13
1.310E+2	1.531E-13
1.320E+2	-8.912E-14
1.330E+2	-2.002E-13
1.340E+2	9.227E-14
1.350E+2	6.510E-11
1.360E+2	2.394E-10
1.370E+2	2.174E-10
1.380E+2	8.536E-11
1.390E+2	4.029E-12
1.400E+2	-5.264E-14
1.410E+2	-1.365E-13
1.420E+2	-1.908E-13
1.430E+2	4.573E-13
1.440E+2	5.155E-13
1.450E+2	1.232E-13
1.460E+2	-8.933E-14
1.470E+2	-2.662E-13
1.480E+2	-2.084E-13
1.490E+2	-1.939E-13
1.500E+2	-2.633E-13
1.510E+2	-2.146E-13
1.520E+2	-2.000E-13
1.530E+2	-2.664E-13
1.540E+2	-1.928E-13
1.550E+2	-2.082E-13
1.560E+2	-2.469E-13
1.570E+2	-1.969E-13
1.580E+2	-2.336E-13
1.590E+2	-2.406E-13
1.600E+2	-1.820E-13
1.610E+2	-1.656E-13
1.620E+2	9.494E-14
1.630E+2	2.620E-12
1.640E+2	2.669E-12
1.650E+2	1.082E-12
1.660E+2	-8.092E-14
1.670E+2	-1.055E-13
1.680E+2	-1.682E-13
1.690E+2	-1.807E-13
1.700E+2	-1.344E-13
1.710E+2	-1.994E-13
1.720E+2	-2.223E-13
1.730E+2	-2.908E-13
1.740E+2	-1.932E-13
1.750E+2	-2.437E-13
1.760E+2	-2.367E-13
1.770E+2	-2.066E-13
1.780E+2	-2.131E-13
1.790E+2	-2.656E-13
1.800E+2	-2.724E-13
1.810E+2	-1.875E-13
1.820E+2	-2.781E-13
1.830E+2	-2.217E-13
1.840E+2	-2.033E-13
1.850E+2	-2.078E-13
1.860E+2	-2.340E-13
1.870E+2	-1.561E-13
1.880E+2	-2.457E-13
1.890E+2	-1.930E-13
1.900E+2	-2.269E-13
1.910E+2	-2.328E-13
1.920E+2	-1.652E-13
1.930E+2	9.689E-12
1.940E+2	3.775E-11
1.950E+2	3.499E-11
1.960E+2	8.922E-12
1.970E+2	-1.520E-13
1.980E+2	-2.105E-13
1.990E+2	-1.281E-13
2.000E+2	-9.937E-14
2.010E+2	-1.248E-13
2.020E+2	-2.474E-13
2.030E+2	-1.643E-13
2.040E+2	1.381E-12
2.050E+2	2.268E-12
2.060E+2	1.551E-12
2.070E+2	-4.096E-14
2.080E+2	-2.535E-13
2.090E+2	-2.394E-13
2.100E+2	3.048E-13
2.110E+2	3.300E-13
2.120E+2	7.567E-14
2.130E+2	-1.293E-13
2.140E+2	-1.986E-13
2.150E+2	-3.158E-13
2.160E+2	-1.637E-13
2.170E+2	2.851E-13
2.180E+2	3.962E-13
2.190E+2	1.930E-14
2.200E+2	-2.867E-13
2.210E+2	-2.320E-13
2.220E+2	-2.057E-13
2.230E+2	-2.533E-13
2.240E+2	6.009E-14
2.250E+2	2.155E-13
2.260E+2	6.932E-14
2.270E+2	-2.502E-13
2.280E+2	-2.318E-13
2.290E+2	-2.326E-13
2.300E+2	-2.219E-13
2.310E+2	-2.326E-13
2.320E+2	-1.344E-13
2.330E+2	-1.363E-13
2.340E+2	-1.238E-13
2.350E+2	-1.717E-13
2.360E+2	-2.480E-13
2.370E+2	-2.750E-13
2.380E+2	-1.473E-13
2.390E+2	-8.728E-14
2.400E+2	-9.732E-14
2.410E+2	-2.039E-13
2.420E+2	-1.834E-13
2.430E+2	-2.256E-13
2.440E+2	-2.178E-13
2.450E+2	-2.062E-13
2.460E+2	-2.953E-13
2.470E+2	-2.299E-13
2.480E+2	-2.088E-13
2.490E+2	-2.250E-13
2.500E+2	-2.471E-13
2.510E+2	-1.783E-13
2.520E+2	-1.879E-13
2.530E+2	-2.074E-13
2.540E+2	-1.465E-13
2.550E+2	-2.119E-13
2.560E+2	-2.681E-13
2.570E+2	-2.722E-13
2.580E+2	-2.560E-13
2.590E+2	-2.260E-13
2.600E+2	-2.402E-13
2.610E+2	-2.271E-13
2.620E+2	-2.146E-13
2.630E+2	-2.262E-13
2.640E+2	-2.584E-13
2.650E+2	-2.687E-13
2.660E+2	-2.496E-13
2.670E+2	-2.478E-13
2.680E+2	-2.174E-13
2.690E+2	-1.912E-13
2.700E+2	-3.267E-13
2.710E+2	-2.668E-13
2.720E+2	-2.531E-13
2.730E+2	-2.918E-13
2.740E+2	-2.537E-13
2.750E+2	-2.281E-13
2.760E+2	-2.221E-13
2.770E+2	-2.068E-13
2.780E+2	-2.035E-13
2.790E+2	-2.549E-13
2.800E+2	-2.195E-13
2.810E+2	-1.389E-13
2.820E+2	-2.252E-13
2.830E+2	-2.416E-13
2.840E+2	-2.115E-13
2.850E+2	-2.367E-13
2.860E+2	-2.646E-13
2.870E+2	-2.517E-13
2.880E+2	-2.074E-13
2.890E+2	-2.342E-13
2.900E+2	-2.549E-13
2.910E+2	-1.986E-13
2.920E+2	-2.463E-13
2.930E+2	-2.318E-13
2.940E+2	-1.852E-13
2.950E+2	-2.365E-13
2.960E+2	-2.689E-13
2.970E+2	-2.392E-13
2.980E+2	-2.287E-13
2.990E+2	-2.623E-13
3.000E+2	-2.180E-13
