Measured on 14:10:52 29/11/2024
Operated by: 	 Ennio, Kristof 
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-250.000
Comments: 	 2 retarding grids, suppr no grid small diameter

Wien voltage (V): 	97.700

Sweep start (kV): 	0.000
Sweep end (kV): 	2.200
Sweep step (V): 	25.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	1.913E-10
2.500E-2	1.915E-10
5.000E-2	1.912E-10
7.500E-2	1.917E-10
1.000E-1	1.919E-10
1.250E-1	1.916E-10
1.500E-1	1.916E-10
1.750E-1	1.914E-10
2.000E-1	1.908E-10
2.250E-1	1.911E-10
2.500E-1	1.911E-10
2.750E-1	1.906E-10
3.000E-1	1.908E-10
3.250E-1	1.907E-10
3.500E-1	1.907E-10
3.750E-1	1.903E-10
4.000E-1	1.901E-10
4.250E-1	1.906E-10
4.500E-1	1.903E-10
4.750E-1	1.895E-10
5.000E-1	1.897E-10
5.250E-1	1.896E-10
5.500E-1	1.895E-10
5.750E-1	1.896E-10
6.000E-1	1.890E-10
6.250E-1	1.895E-10
6.500E-1	1.886E-10
6.750E-1	1.887E-10
7.000E-1	1.883E-10
7.250E-1	1.887E-10
7.500E-1	1.884E-10
7.750E-1	1.869E-10
8.000E-1	1.871E-10
8.250E-1	1.863E-10
8.500E-1	1.859E-10
8.750E-1	1.858E-10
9.000E-1	1.858E-10
9.250E-1	1.853E-10
9.500E-1	1.846E-10
9.750E-1	1.849E-10
1.000E+0	1.847E-10
1.025E+0	1.839E-10
1.050E+0	1.834E-10
1.075E+0	1.827E-10
1.100E+0	1.817E-10
1.125E+0	1.810E-10
1.150E+0	1.804E-10
1.175E+0	1.800E-10
1.200E+0	1.792E-10
1.225E+0	1.783E-10
1.250E+0	1.769E-10
1.275E+0	1.764E-10
1.300E+0	1.755E-10
1.325E+0	1.750E-10
1.350E+0	1.737E-10
1.375E+0	1.724E-10
1.400E+0	1.707E-10
1.425E+0	1.694E-10
1.450E+0	1.674E-10
1.475E+0	1.659E-10
1.500E+0	1.646E-10
1.525E+0	1.633E-10
1.550E+0	1.625E-10
1.575E+0	1.617E-10
1.600E+0	1.609E-10
1.625E+0	1.619E-10
1.650E+0	1.635E-10
1.675E+0	1.661E-10
1.700E+0	1.692E-10
1.725E+0	1.725E-10
1.750E+0	1.771E-10
1.775E+0	1.815E-10
1.800E+0	1.862E-10
1.825E+0	1.906E-10
1.850E+0	1.930E-10
1.875E+0	1.946E-10
1.900E+0	1.953E-10
1.925E+0	1.928E-10
1.950E+0	1.782E-10
1.975E+0	1.617E-10
2.000E+0	1.419E-10
2.025E+0	6.617E-11
2.050E+0	-3.209E-13
2.075E+0	-7.940E-13
2.100E+0	-7.997E-13
2.125E+0	-7.489E-13
2.150E+0	-7.747E-13
2.175E+0	-8.081E-13
2.200E+0	-8.536E-13
