Measured on 11:19:32 04/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 1 ret grid, sup grid

Wien voltage (V): 	97.700

Sweep start (kV): 	0.000
Sweep end (kV): 	2.200
Sweep step (V): 	10.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	1.844E-10
1.000E-2	1.844E-10
2.000E-2	1.846E-10
3.000E-2	1.847E-10
4.000E-2	1.848E-10
5.000E-2	1.845E-10
6.000E-2	1.854E-10
7.000E-2	1.855E-10
8.000E-2	1.851E-10
9.000E-2	1.853E-10
1.000E-1	1.858E-10
1.100E-1	1.862E-10
1.200E-1	1.859E-10
1.300E-1	1.864E-10
1.400E-1	1.869E-10
1.500E-1	1.867E-10
1.600E-1	1.870E-10
1.700E-1	1.871E-10
1.800E-1	1.875E-10
1.900E-1	1.874E-10
2.000E-1	1.877E-10
2.100E-1	1.875E-10
2.200E-1	1.881E-10
2.300E-1	1.878E-10
2.400E-1	1.880E-10
2.500E-1	1.886E-10
2.600E-1	1.891E-10
2.700E-1	1.886E-10
2.800E-1	1.886E-10
2.900E-1	1.889E-10
3.000E-1	1.894E-10
3.100E-1	1.897E-10
3.200E-1	1.893E-10
3.300E-1	1.899E-10
3.400E-1	1.902E-10
3.500E-1	1.900E-10
3.600E-1	1.902E-10
3.700E-1	1.905E-10
3.800E-1	1.910E-10
3.900E-1	1.909E-10
4.000E-1	1.913E-10
4.100E-1	1.915E-10
4.200E-1	1.920E-10
4.300E-1	1.920E-10
4.400E-1	1.919E-10
4.500E-1	1.921E-10
4.600E-1	1.926E-10
4.700E-1	1.925E-10
4.800E-1	1.930E-10
4.900E-1	1.932E-10
5.000E-1	1.934E-10
5.100E-1	1.933E-10
5.200E-1	1.936E-10
5.300E-1	1.943E-10
5.400E-1	1.947E-10
5.500E-1	1.943E-10
5.600E-1	1.946E-10
5.700E-1	1.953E-10
5.800E-1	1.950E-10
5.900E-1	1.956E-10
6.000E-1	1.959E-10
6.100E-1	1.960E-10
6.200E-1	1.961E-10
6.300E-1	1.967E-10
6.400E-1	1.970E-10
6.500E-1	1.972E-10
6.600E-1	1.979E-10
6.700E-1	1.979E-10
6.800E-1	1.982E-10
6.900E-1	1.984E-10
7.000E-1	1.986E-10
7.100E-1	1.991E-10
7.200E-1	1.996E-10
7.300E-1	1.995E-10
7.400E-1	1.993E-10
7.500E-1	2.001E-10
7.600E-1	2.004E-10
7.700E-1	2.004E-10
7.800E-1	2.004E-10
7.900E-1	2.007E-10
8.000E-1	2.007E-10
8.100E-1	2.007E-10
8.200E-1	2.008E-10
8.300E-1	2.016E-10
8.400E-1	2.015E-10
8.500E-1	2.017E-10
8.600E-1	2.017E-10
8.700E-1	2.021E-10
8.800E-1	2.019E-10
8.900E-1	2.021E-10
9.000E-1	2.023E-10
9.100E-1	2.027E-10
9.200E-1	2.029E-10
9.300E-1	2.029E-10
9.400E-1	2.027E-10
9.500E-1	2.032E-10
9.600E-1	2.033E-10
9.700E-1	2.035E-10
9.800E-1	2.038E-10
9.900E-1	2.040E-10
1.000E+0	2.045E-10
1.010E+0	2.045E-10
1.020E+0	2.041E-10
1.030E+0	2.041E-10
1.040E+0	2.048E-10
1.050E+0	2.041E-10
1.060E+0	2.049E-10
1.070E+0	2.053E-10
1.080E+0	2.057E-10
1.090E+0	2.054E-10
1.100E+0	2.052E-10
1.110E+0	2.054E-10
1.120E+0	2.055E-10
1.130E+0	2.055E-10
1.140E+0	2.053E-10
1.150E+0	2.055E-10
1.160E+0	2.060E-10
1.170E+0	2.061E-10
1.180E+0	2.058E-10
1.190E+0	2.056E-10
1.200E+0	2.058E-10
1.210E+0	2.058E-10
1.220E+0	2.055E-10
1.230E+0	2.054E-10
1.240E+0	2.056E-10
1.250E+0	2.053E-10
1.260E+0	2.048E-10
1.270E+0	2.046E-10
1.280E+0	2.050E-10
1.290E+0	2.043E-10
1.300E+0	2.041E-10
1.310E+0	2.039E-10
1.320E+0	2.040E-10
1.330E+0	2.035E-10
1.340E+0	2.038E-10
1.350E+0	2.035E-10
1.360E+0	2.032E-10
1.370E+0	2.031E-10
1.380E+0	2.025E-10
1.390E+0	2.029E-10
1.400E+0	2.032E-10
1.410E+0	2.028E-10
1.420E+0	2.027E-10
1.430E+0	2.027E-10
1.440E+0	2.027E-10
1.450E+0	2.022E-10
1.460E+0	2.017E-10
1.470E+0	2.017E-10
1.480E+0	2.017E-10
1.490E+0	2.011E-10
1.500E+0	2.008E-10
1.510E+0	2.009E-10
1.520E+0	2.003E-10
1.530E+0	1.994E-10
1.540E+0	1.985E-10
1.550E+0	1.986E-10
1.560E+0	1.982E-10
1.570E+0	1.971E-10
1.580E+0	1.966E-10
1.590E+0	1.966E-10
1.600E+0	1.966E-10
1.610E+0	1.961E-10
1.620E+0	1.964E-10
1.630E+0	1.966E-10
1.640E+0	1.969E-10
1.650E+0	1.966E-10
1.660E+0	1.971E-10
1.670E+0	1.977E-10
1.680E+0	1.974E-10
1.690E+0	1.970E-10
1.700E+0	1.970E-10
1.710E+0	1.972E-10
1.720E+0	1.972E-10
1.730E+0	1.967E-10
1.740E+0	1.965E-10
1.750E+0	1.973E-10
1.760E+0	1.971E-10
1.770E+0	1.972E-10
1.780E+0	1.970E-10
1.790E+0	1.975E-10
1.800E+0	1.980E-10
1.810E+0	1.984E-10
1.820E+0	1.988E-10
1.830E+0	1.997E-10
1.840E+0	2.002E-10
1.850E+0	2.004E-10
1.860E+0	2.008E-10
1.870E+0	2.010E-10
1.880E+0	2.018E-10
1.890E+0	2.017E-10
1.900E+0	2.023E-10
1.910E+0	2.030E-10
1.920E+0	2.036E-10
1.930E+0	2.049E-10
1.940E+0	2.063E-10
1.950E+0	2.077E-10
1.960E+0	2.095E-10
1.970E+0	2.114E-10
1.980E+0	2.139E-10
1.990E+0	2.146E-10
2.000E+0	2.109E-10
2.010E+0	2.010E-10
2.020E+0	1.865E-10
2.030E+0	1.676E-10
2.040E+0	1.432E-10
2.050E+0	1.136E-10
2.060E+0	8.058E-11
2.070E+0	4.523E-11
2.080E+0	1.576E-11
2.090E+0	2.020E-12
2.100E+0	-2.801E-13
2.110E+0	-2.605E-13
2.120E+0	-2.767E-13
2.130E+0	-3.511E-13
2.140E+0	-3.404E-13
2.150E+0	-1.975E-13
2.160E+0	-2.822E-13
2.170E+0	-3.105E-13
2.180E+0	-2.471E-13
2.190E+0	-3.103E-13
2.200E+0	-3.853E-13
