Measured on 10:32:10 04/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 1 ret grid, sup grid

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	10.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.627E-10
1.000E-2	2.635E-10
2.000E-2	2.643E-10
3.000E-2	2.646E-10
4.000E-2	2.653E-10
5.000E-2	2.656E-10
6.000E-2	2.661E-10
7.000E-2	2.665E-10
8.000E-2	2.670E-10
9.000E-2	2.672E-10
1.000E-1	2.677E-10
1.100E-1	2.679E-10
1.200E-1	2.681E-10
1.300E-1	2.686E-10
1.400E-1	2.691E-10
1.500E-1	2.691E-10
1.600E-1	2.693E-10
1.700E-1	2.699E-10
1.800E-1	2.701E-10
1.900E-1	2.701E-10
2.000E-1	2.708E-10
2.100E-1	2.711E-10
2.200E-1	2.711E-10
2.300E-1	2.713E-10
2.400E-1	2.717E-10
2.500E-1	2.718E-10
2.600E-1	2.721E-10
2.700E-1	2.725E-10
2.800E-1	2.727E-10
2.900E-1	2.729E-10
3.000E-1	2.731E-10
3.100E-1	2.734E-10
3.200E-1	2.739E-10
3.300E-1	2.737E-10
3.400E-1	2.738E-10
3.500E-1	2.744E-10
3.600E-1	2.745E-10
3.700E-1	2.745E-10
3.800E-1	2.750E-10
3.900E-1	2.754E-10
4.000E-1	2.755E-10
4.100E-1	2.754E-10
4.200E-1	2.756E-10
4.300E-1	2.761E-10
4.400E-1	2.762E-10
4.500E-1	2.763E-10
4.600E-1	2.766E-10
4.700E-1	2.767E-10
4.800E-1	2.768E-10
4.900E-1	2.769E-10
5.000E-1	2.772E-10
5.100E-1	2.773E-10
5.200E-1	2.774E-10
5.300E-1	2.777E-10
5.400E-1	2.778E-10
5.500E-1	2.780E-10
5.600E-1	2.781E-10
5.700E-1	2.783E-10
5.800E-1	2.786E-10
5.900E-1	2.790E-10
6.000E-1	2.789E-10
6.100E-1	2.793E-10
6.200E-1	2.795E-10
6.300E-1	2.797E-10
6.400E-1	2.795E-10
6.500E-1	2.801E-10
6.600E-1	2.803E-10
6.700E-1	2.803E-10
6.800E-1	2.806E-10
6.900E-1	2.811E-10
7.000E-1	2.809E-10
7.100E-1	2.811E-10
7.200E-1	2.815E-10
7.300E-1	2.818E-10
7.400E-1	2.818E-10
7.500E-1	2.819E-10
7.600E-1	2.823E-10
7.700E-1	2.823E-10
7.800E-1	2.826E-10
7.900E-1	2.828E-10
8.000E-1	2.828E-10
8.100E-1	2.828E-10
8.200E-1	2.831E-10
8.300E-1	2.832E-10
8.400E-1	2.837E-10
8.500E-1	2.838E-10
8.600E-1	2.839E-10
8.700E-1	2.841E-10
8.800E-1	2.845E-10
8.900E-1	2.847E-10
9.000E-1	2.847E-10
9.100E-1	2.850E-10
9.200E-1	2.856E-10
9.300E-1	2.855E-10
9.400E-1	2.855E-10
9.500E-1	2.859E-10
9.600E-1	2.864E-10
9.700E-1	2.861E-10
9.800E-1	2.863E-10
9.900E-1	2.868E-10
1.000E+0	2.869E-10
1.010E+0	2.871E-10
1.020E+0	2.871E-10
1.030E+0	2.872E-10
1.040E+0	2.874E-10
1.050E+0	2.876E-10
1.060E+0	2.880E-10
1.070E+0	2.880E-10
1.080E+0	2.882E-10
1.090E+0	2.882E-10
1.100E+0	2.883E-10
1.110E+0	2.885E-10
1.120E+0	2.885E-10
1.130E+0	2.885E-10
1.140E+0	2.890E-10
1.150E+0	2.892E-10
1.160E+0	2.894E-10
1.170E+0	2.896E-10
1.180E+0	2.899E-10
1.190E+0	2.899E-10
1.200E+0	2.901E-10
1.210E+0	2.904E-10
1.220E+0	2.906E-10
1.230E+0	2.905E-10
1.240E+0	2.906E-10
1.250E+0	2.911E-10
1.260E+0	2.913E-10
1.270E+0	2.910E-10
1.280E+0	2.911E-10
1.290E+0	2.915E-10
1.300E+0	2.917E-10
1.310E+0	2.915E-10
1.320E+0	2.918E-10
1.330E+0	2.920E-10
1.340E+0	2.919E-10
1.350E+0	2.918E-10
1.360E+0	2.920E-10
1.370E+0	2.919E-10
1.380E+0	2.916E-10
1.390E+0	2.916E-10
1.400E+0	2.919E-10
1.410E+0	2.921E-10
1.420E+0	2.919E-10
1.430E+0	2.921E-10
1.440E+0	2.921E-10
1.450E+0	2.919E-10
1.460E+0	2.917E-10
1.470E+0	2.923E-10
1.480E+0	2.922E-10
1.490E+0	2.921E-10
1.500E+0	2.917E-10
1.510E+0	2.918E-10
1.520E+0	2.915E-10
1.530E+0	2.915E-10
1.540E+0	2.917E-10
1.550E+0	2.916E-10
1.560E+0	2.912E-10
1.570E+0	2.912E-10
1.580E+0	2.910E-10
1.590E+0	2.913E-10
1.600E+0	2.913E-10
1.610E+0	2.908E-10
1.620E+0	2.904E-10
1.630E+0	2.906E-10
1.640E+0	2.904E-10
1.650E+0	2.904E-10
1.660E+0	2.904E-10
1.670E+0	2.904E-10
1.680E+0	2.900E-10
1.690E+0	2.901E-10
1.700E+0	2.906E-10
1.710E+0	2.905E-10
1.720E+0	2.904E-10
1.730E+0	2.901E-10
1.740E+0	2.903E-10
1.750E+0	2.898E-10
1.760E+0	2.896E-10
1.770E+0	2.899E-10
1.780E+0	2.897E-10
1.790E+0	2.896E-10
1.800E+0	2.897E-10
1.810E+0	2.896E-10
1.820E+0	2.893E-10
1.830E+0	2.892E-10
1.840E+0	2.892E-10
1.850E+0	2.891E-10
1.860E+0	2.890E-10
1.870E+0	2.891E-10
1.880E+0	2.888E-10
1.890E+0	2.886E-10
1.900E+0	2.888E-10
1.910E+0	2.890E-10
1.920E+0	2.890E-10
1.930E+0	2.888E-10
1.940E+0	2.885E-10
1.950E+0	2.887E-10
1.960E+0	2.883E-10
1.970E+0	2.884E-10
1.980E+0	2.883E-10
1.990E+0	2.884E-10
2.000E+0	2.880E-10
2.010E+0	2.876E-10
2.020E+0	2.880E-10
2.030E+0	2.879E-10
2.040E+0	2.870E-10
2.050E+0	2.873E-10
2.060E+0	2.875E-10
2.070E+0	2.871E-10
2.080E+0	2.871E-10
2.090E+0	2.875E-10
2.100E+0	2.875E-10
2.110E+0	2.873E-10
2.120E+0	2.870E-10
2.130E+0	2.870E-10
2.140E+0	2.871E-10
2.150E+0	2.871E-10
2.160E+0	2.870E-10
2.170E+0	2.868E-10
2.180E+0	2.868E-10
2.190E+0	2.867E-10
2.200E+0	2.865E-10
2.210E+0	2.866E-10
2.220E+0	2.867E-10
2.230E+0	2.862E-10
2.240E+0	2.861E-10
2.250E+0	2.857E-10
2.260E+0	2.861E-10
2.270E+0	2.862E-10
2.280E+0	2.857E-10
2.290E+0	2.854E-10
2.300E+0	2.854E-10
2.310E+0	2.845E-10
2.320E+0	2.844E-10
2.330E+0	2.839E-10
2.340E+0	2.838E-10
2.350E+0	2.834E-10
2.360E+0	2.833E-10
2.370E+0	2.833E-10
2.380E+0	2.834E-10
2.390E+0	2.829E-10
2.400E+0	2.821E-10
2.410E+0	2.822E-10
2.420E+0	2.821E-10
2.430E+0	2.814E-10
2.440E+0	2.812E-10
2.450E+0	2.812E-10
2.460E+0	2.811E-10
2.470E+0	2.803E-10
2.480E+0	2.802E-10
2.490E+0	2.800E-10
2.500E+0	2.796E-10
2.510E+0	2.793E-10
2.520E+0	2.794E-10
2.530E+0	2.791E-10
2.540E+0	2.786E-10
2.550E+0	2.785E-10
2.560E+0	2.784E-10
2.570E+0	2.778E-10
2.580E+0	2.775E-10
2.590E+0	2.777E-10
2.600E+0	2.777E-10
2.610E+0	2.769E-10
2.620E+0	2.767E-10
2.630E+0	2.766E-10
2.640E+0	2.762E-10
2.650E+0	2.756E-10
2.660E+0	2.758E-10
2.670E+0	2.761E-10
2.680E+0	2.759E-10
2.690E+0	2.757E-10
2.700E+0	2.759E-10
2.710E+0	2.759E-10
2.720E+0	2.753E-10
2.730E+0	2.752E-10
2.740E+0	2.753E-10
2.750E+0	2.754E-10
2.760E+0	2.747E-10
2.770E+0	2.743E-10
2.780E+0	2.740E-10
2.790E+0	2.739E-10
2.800E+0	2.738E-10
2.810E+0	2.734E-10
2.820E+0	2.735E-10
2.830E+0	2.740E-10
2.840E+0	2.739E-10
2.850E+0	2.738E-10
2.860E+0	2.744E-10
2.870E+0	2.745E-10
2.880E+0	2.743E-10
2.890E+0	2.748E-10
2.900E+0	2.750E-10
2.910E+0	2.748E-10
2.920E+0	2.749E-10
2.930E+0	2.753E-10
2.940E+0	2.756E-10
2.950E+0	2.755E-10
2.960E+0	2.756E-10
2.970E+0	2.755E-10
2.980E+0	2.755E-10
2.990E+0	2.748E-10
3.000E+0	2.747E-10
3.010E+0	2.748E-10
3.020E+0	2.749E-10
3.030E+0	2.755E-10
3.040E+0	2.741E-10
3.050E+0	2.740E-10
3.060E+0	2.740E-10
3.070E+0	2.740E-10
3.080E+0	2.742E-10
3.090E+0	2.742E-10
3.100E+0	2.738E-10
3.110E+0	2.736E-10
3.120E+0	2.734E-10
3.130E+0	2.736E-10
3.140E+0	2.737E-10
3.150E+0	2.738E-10
3.160E+0	2.741E-10
3.170E+0	2.747E-10
3.180E+0	2.749E-10
3.190E+0	2.753E-10
3.200E+0	2.760E-10
3.210E+0	2.767E-10
3.220E+0	2.777E-10
3.230E+0	2.774E-10
3.240E+0	2.781E-10
3.250E+0	2.788E-10
3.260E+0	2.796E-10
3.270E+0	2.800E-10
3.280E+0	2.806E-10
3.290E+0	2.812E-10
3.300E+0	2.814E-10
3.310E+0	2.816E-10
3.320E+0	2.817E-10
3.330E+0	2.822E-10
3.340E+0	2.825E-10
3.350E+0	2.833E-10
3.360E+0	2.842E-10
3.370E+0	2.847E-10
3.380E+0	2.853E-10
3.390E+0	2.860E-10
3.400E+0	2.867E-10
3.410E+0	2.869E-10
3.420E+0	2.874E-10
3.430E+0	2.883E-10
3.440E+0	2.887E-10
3.450E+0	2.891E-10
3.460E+0	2.899E-10
3.470E+0	2.905E-10
3.480E+0	2.911E-10
3.490E+0	2.918E-10
3.500E+0	2.923E-10
3.510E+0	2.927E-10
3.520E+0	2.934E-10
3.530E+0	2.942E-10
3.540E+0	2.951E-10
3.550E+0	2.957E-10
3.560E+0	2.965E-10
3.570E+0	2.974E-10
3.580E+0	2.984E-10
3.590E+0	2.991E-10
3.600E+0	3.002E-10
3.610E+0	3.008E-10
3.620E+0	3.018E-10
3.630E+0	3.021E-10
3.640E+0	3.029E-10
3.650E+0	3.034E-10
3.660E+0	3.039E-10
3.670E+0	3.044E-10
3.680E+0	3.050E-10
3.690E+0	3.054E-10
3.700E+0	3.055E-10
3.710E+0	3.064E-10
3.720E+0	3.069E-10
3.730E+0	3.073E-10
3.740E+0	3.080E-10
3.750E+0	3.086E-10
3.760E+0	3.094E-10
3.770E+0	3.097E-10
3.780E+0	3.104E-10
3.790E+0	3.114E-10
3.800E+0	3.128E-10
3.810E+0	3.140E-10
3.820E+0	3.156E-10
3.830E+0	3.173E-10
3.840E+0	3.187E-10
3.850E+0	3.200E-10
3.860E+0	3.216E-10
3.870E+0	3.231E-10
3.880E+0	3.243E-10
3.890E+0	3.256E-10
3.900E+0	3.268E-10
3.910E+0	3.270E-10
3.920E+0	3.266E-10
3.930E+0	3.257E-10
3.940E+0	3.238E-10
3.950E+0	3.194E-10
3.960E+0	3.110E-10
3.970E+0	2.996E-10
3.980E+0	2.863E-10
3.990E+0	2.705E-10
4.000E+0	2.531E-10
4.010E+0	2.357E-10
4.020E+0	2.162E-10
4.030E+0	1.944E-10
4.040E+0	1.703E-10
4.050E+0	1.445E-10
4.060E+0	1.198E-10
4.070E+0	9.435E-11
4.080E+0	6.874E-11
4.090E+0	4.436E-11
4.100E+0	2.290E-11
4.110E+0	6.436E-12
4.120E+0	2.495E-13
4.130E+0	-1.065E-13
4.140E+0	-2.535E-13
4.150E+0	-2.414E-13
4.160E+0	-1.826E-13
4.170E+0	-1.826E-13
4.180E+0	-2.406E-13
4.190E+0	-1.730E-13
4.200E+0	-1.408E-13
