Measured on 10:52:47 04/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-20.000
Comments: 	 1 ret grid, sup grid

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	10.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.882E-10
1.000E-2	2.896E-10
2.000E-2	2.898E-10
3.000E-2	2.910E-10
4.000E-2	2.913E-10
5.000E-2	2.923E-10
6.000E-2	2.934E-10
7.000E-2	2.937E-10
8.000E-2	2.939E-10
9.000E-2	2.946E-10
1.000E-1	2.949E-10
1.100E-1	2.952E-10
1.200E-1	2.955E-10
1.300E-1	2.961E-10
1.400E-1	2.970E-10
1.500E-1	2.975E-10
1.600E-1	2.972E-10
1.700E-1	2.978E-10
1.800E-1	2.982E-10
1.900E-1	2.986E-10
2.000E-1	2.989E-10
2.100E-1	2.994E-10
2.200E-1	2.997E-10
2.300E-1	2.996E-10
2.400E-1	2.995E-10
2.500E-1	3.006E-10
2.600E-1	3.008E-10
2.700E-1	3.010E-10
2.800E-1	3.013E-10
2.900E-1	3.019E-10
3.000E-1	3.022E-10
3.100E-1	3.020E-10
3.200E-1	3.020E-10
3.300E-1	3.025E-10
3.400E-1	3.027E-10
3.500E-1	3.026E-10
3.600E-1	3.028E-10
3.700E-1	3.034E-10
3.800E-1	3.037E-10
3.900E-1	3.041E-10
4.000E-1	3.043E-10
4.100E-1	3.047E-10
4.200E-1	3.047E-10
4.300E-1	3.050E-10
4.400E-1	3.052E-10
4.500E-1	3.054E-10
4.600E-1	3.057E-10
4.700E-1	3.060E-10
4.800E-1	3.066E-10
4.900E-1	3.066E-10
5.000E-1	3.066E-10
5.100E-1	3.071E-10
5.200E-1	3.077E-10
5.300E-1	3.077E-10
5.400E-1	3.085E-10
5.500E-1	3.085E-10
5.600E-1	3.087E-10
5.700E-1	3.091E-10
5.800E-1	3.094E-10
5.900E-1	3.101E-10
6.000E-1	3.100E-10
6.100E-1	3.106E-10
6.200E-1	3.109E-10
6.300E-1	3.114E-10
6.400E-1	3.117E-10
6.500E-1	3.121E-10
6.600E-1	3.124E-10
6.700E-1	3.126E-10
6.800E-1	3.128E-10
6.900E-1	3.135E-10
7.000E-1	3.138E-10
7.100E-1	3.137E-10
7.200E-1	3.140E-10
7.300E-1	3.147E-10
7.400E-1	3.151E-10
7.500E-1	3.154E-10
7.600E-1	3.156E-10
7.700E-1	3.158E-10
7.800E-1	3.163E-10
7.900E-1	3.163E-10
8.000E-1	3.167E-10
8.100E-1	3.172E-10
8.200E-1	3.174E-10
8.300E-1	3.176E-10
8.400E-1	3.182E-10
8.500E-1	3.187E-10
8.600E-1	3.189E-10
8.700E-1	3.195E-10
8.800E-1	3.198E-10
8.900E-1	3.201E-10
9.000E-1	3.198E-10
9.100E-1	3.202E-10
9.200E-1	3.208E-10
9.300E-1	3.213E-10
9.400E-1	3.215E-10
9.500E-1	3.223E-10
9.600E-1	3.227E-10
9.700E-1	3.230E-10
9.800E-1	3.235E-10
9.900E-1	3.243E-10
1.000E+0	3.248E-10
1.010E+0	3.246E-10
1.020E+0	3.250E-10
1.030E+0	3.258E-10
1.040E+0	3.259E-10
1.050E+0	3.259E-10
1.060E+0	3.268E-10
1.070E+0	3.273E-10
1.080E+0	3.275E-10
1.090E+0	3.278E-10
1.100E+0	3.284E-10
1.110E+0	3.288E-10
1.120E+0	3.292E-10
1.130E+0	3.297E-10
1.140E+0	3.302E-10
1.150E+0	3.306E-10
1.160E+0	3.310E-10
1.170E+0	3.315E-10
1.180E+0	3.325E-10
1.190E+0	3.330E-10
1.200E+0	3.327E-10
1.210E+0	3.337E-10
1.220E+0	3.343E-10
1.230E+0	3.345E-10
1.240E+0	3.352E-10
1.250E+0	3.362E-10
1.260E+0	3.362E-10
1.270E+0	3.366E-10
1.280E+0	3.375E-10
1.290E+0	3.375E-10
1.300E+0	3.382E-10
1.310E+0	3.384E-10
1.320E+0	3.388E-10
1.330E+0	3.398E-10
1.340E+0	3.399E-10
1.350E+0	3.404E-10
1.360E+0	3.408E-10
1.370E+0	3.415E-10
1.380E+0	3.418E-10
1.390E+0	3.419E-10
1.400E+0	3.426E-10
1.410E+0	3.430E-10
1.420E+0	3.433E-10
1.430E+0	3.437E-10
1.440E+0	3.443E-10
1.450E+0	3.450E-10
1.460E+0	3.452E-10
1.470E+0	3.458E-10
1.480E+0	3.463E-10
1.490E+0	3.466E-10
1.500E+0	3.467E-10
1.510E+0	3.473E-10
1.520E+0	3.479E-10
1.530E+0	3.485E-10
1.540E+0	3.487E-10
1.550E+0	3.488E-10
1.560E+0	3.492E-10
1.570E+0	3.497E-10
1.580E+0	3.497E-10
1.590E+0	3.505E-10
1.600E+0	3.511E-10
1.610E+0	3.516E-10
1.620E+0	3.522E-10
1.630E+0	3.529E-10
1.640E+0	3.533E-10
1.650E+0	3.535E-10
1.660E+0	3.541E-10
1.670E+0	3.549E-10
1.680E+0	3.554E-10
1.690E+0	3.561E-10
1.700E+0	3.564E-10
1.710E+0	3.571E-10
1.720E+0	3.578E-10
1.730E+0	3.581E-10
1.740E+0	3.587E-10
1.750E+0	3.592E-10
1.760E+0	3.601E-10
1.770E+0	3.607E-10
1.780E+0	3.613E-10
1.790E+0	3.623E-10
1.800E+0	3.626E-10
1.810E+0	3.633E-10
1.820E+0	3.638E-10
1.830E+0	3.648E-10
1.840E+0	3.654E-10
1.850E+0	3.661E-10
1.860E+0	3.668E-10
1.870E+0	3.678E-10
1.880E+0	3.683E-10
1.890E+0	3.687E-10
1.900E+0	3.700E-10
1.910E+0	3.705E-10
1.920E+0	3.713E-10
1.930E+0	3.721E-10
1.940E+0	3.734E-10
1.950E+0	3.739E-10
1.960E+0	3.745E-10
1.970E+0	3.755E-10
1.980E+0	3.761E-10
1.990E+0	3.768E-10
2.000E+0	3.774E-10
2.010E+0	3.787E-10
2.020E+0	3.792E-10
2.030E+0	3.795E-10
2.040E+0	3.804E-10
2.050E+0	3.813E-10
2.060E+0	3.821E-10
2.070E+0	3.831E-10
2.080E+0	3.842E-10
2.090E+0	3.849E-10
2.100E+0	3.858E-10
2.110E+0	3.869E-10
2.120E+0	3.881E-10
2.130E+0	3.892E-10
2.140E+0	3.900E-10
2.150E+0	3.915E-10
2.160E+0	3.931E-10
2.170E+0	3.941E-10
2.180E+0	3.951E-10
2.190E+0	3.962E-10
2.200E+0	3.971E-10
2.210E+0	3.976E-10
2.220E+0	3.992E-10
2.230E+0	4.002E-10
2.240E+0	4.013E-10
2.250E+0	4.023E-10
2.260E+0	4.033E-10
2.270E+0	4.044E-10
2.280E+0	4.051E-10
2.290E+0	4.061E-10
2.300E+0	4.071E-10
2.310E+0	4.081E-10
2.320E+0	4.087E-10
2.330E+0	4.099E-10
2.340E+0	4.107E-10
2.350E+0	4.113E-10
2.360E+0	4.118E-10
2.370E+0	4.126E-10
2.380E+0	4.137E-10
2.390E+0	4.148E-10
2.400E+0	4.156E-10
2.410E+0	4.165E-10
2.420E+0	4.178E-10
2.430E+0	4.183E-10
2.440E+0	4.190E-10
2.450E+0	4.202E-10
2.460E+0	4.212E-10
2.470E+0	4.222E-10
2.480E+0	4.230E-10
2.490E+0	4.241E-10
2.500E+0	4.251E-10
2.510E+0	4.260E-10
2.520E+0	4.269E-10
2.530E+0	4.286E-10
2.540E+0	4.297E-10
2.550E+0	4.309E-10
2.560E+0	4.321E-10
2.570E+0	4.337E-10
2.580E+0	4.351E-10
2.590E+0	4.364E-10
2.600E+0	4.379E-10
2.610E+0	4.394E-10
2.620E+0	4.406E-10
2.630E+0	4.420E-10
2.640E+0	4.432E-10
2.650E+0	4.454E-10
2.660E+0	4.468E-10
2.670E+0	4.481E-10
2.680E+0	4.500E-10
2.690E+0	4.518E-10
2.700E+0	4.527E-10
2.710E+0	4.542E-10
2.720E+0	4.558E-10
2.730E+0	4.571E-10
2.740E+0	4.587E-10
2.750E+0	4.603E-10
2.760E+0	4.613E-10
2.770E+0	4.620E-10
2.780E+0	4.630E-10
2.790E+0	4.639E-10
2.800E+0	4.647E-10
2.810E+0	4.655E-10
2.820E+0	4.675E-10
2.830E+0	4.692E-10
2.840E+0	4.709E-10
2.850E+0	4.731E-10
2.860E+0	4.757E-10
2.870E+0	4.773E-10
2.880E+0	4.790E-10
2.890E+0	4.813E-10
2.900E+0	4.837E-10
2.910E+0	4.859E-10
2.920E+0	4.888E-10
2.930E+0	4.907E-10
2.940E+0	4.936E-10
2.950E+0	4.955E-10
2.960E+0	4.970E-10
2.970E+0	4.992E-10
2.980E+0	5.009E-10
2.990E+0	5.018E-10
3.000E+0	5.033E-10
3.010E+0	5.056E-10
3.020E+0	5.074E-10
3.030E+0	5.084E-10
3.040E+0	5.108E-10
3.050E+0	5.125E-10
3.060E+0	5.143E-10
3.070E+0	5.153E-10
3.080E+0	5.169E-10
3.090E+0	5.179E-10
3.100E+0	5.181E-10
3.110E+0	5.190E-10
3.120E+0	5.207E-10
3.130E+0	5.216E-10
3.140E+0	5.240E-10
3.150E+0	5.253E-10
3.160E+0	5.275E-10
3.170E+0	5.310E-10
3.180E+0	5.328E-10
3.190E+0	5.354E-10
3.200E+0	5.378E-10
3.210E+0	5.398E-10
3.220E+0	5.423E-10
3.230E+0	5.447E-10
3.240E+0	5.476E-10
3.250E+0	5.494E-10
3.260E+0	5.503E-10
3.270E+0	5.513E-10
3.280E+0	5.528E-10
3.290E+0	5.531E-10
3.300E+0	5.551E-10
3.310E+0	5.555E-10
3.320E+0	5.574E-10
3.330E+0	5.591E-10
3.340E+0	5.611E-10
3.350E+0	5.631E-10
3.360E+0	5.643E-10
3.370E+0	5.658E-10
3.380E+0	5.670E-10
3.390E+0	5.695E-10
3.400E+0	5.704E-10
3.410E+0	5.721E-10
3.420E+0	5.742E-10
3.430E+0	5.769E-10
3.440E+0	5.780E-10
3.450E+0	5.783E-10
3.460E+0	5.803E-10
3.470E+0	5.831E-10
3.480E+0	5.842E-10
3.490E+0	5.877E-10
3.500E+0	5.884E-10
3.510E+0	5.893E-10
3.520E+0	5.929E-10
3.530E+0	5.957E-10
3.540E+0	5.976E-10
3.550E+0	6.003E-10
3.560E+0	6.025E-10
3.570E+0	6.067E-10
3.580E+0	6.098E-10
3.590E+0	6.123E-10
3.600E+0	6.157E-10
3.610E+0	6.188E-10
3.620E+0	6.218E-10
3.630E+0	6.239E-10
3.640E+0	6.268E-10
3.650E+0	6.289E-10
3.660E+0	6.312E-10
3.670E+0	6.322E-10
3.680E+0	6.335E-10
3.690E+0	6.358E-10
3.700E+0	6.365E-10
3.710E+0	6.382E-10
3.720E+0	6.404E-10
3.730E+0	6.434E-10
3.740E+0	6.458E-10
3.750E+0	6.471E-10
3.760E+0	6.498E-10
3.770E+0	6.524E-10
3.780E+0	6.546E-10
3.790E+0	6.576E-10
3.800E+0	6.612E-10
3.810E+0	6.658E-10
3.820E+0	6.689E-10
3.830E+0	6.722E-10
3.840E+0	6.771E-10
3.850E+0	6.809E-10
3.860E+0	6.845E-10
3.870E+0	6.888E-10
3.880E+0	6.938E-10
3.890E+0	6.969E-10
3.900E+0	6.985E-10
3.910E+0	7.012E-10
3.920E+0	7.012E-10
3.930E+0	6.994E-10
3.940E+0	6.912E-10
3.950E+0	6.782E-10
3.960E+0	6.550E-10
3.970E+0	6.239E-10
3.980E+0	5.876E-10
3.990E+0	5.456E-10
4.000E+0	5.001E-10
4.010E+0	4.525E-10
4.020E+0	4.014E-10
4.030E+0	3.467E-10
4.040E+0	2.861E-10
4.050E+0	2.254E-10
4.060E+0	1.716E-10
4.070E+0	1.208E-10
4.080E+0	7.398E-11
4.090E+0	3.781E-11
4.100E+0	1.246E-11
4.110E+0	-5.162E-12
4.120E+0	-1.069E-11
4.130E+0	-1.088E-11
4.140E+0	-1.085E-11
4.150E+0	-1.082E-11
4.160E+0	-1.090E-11
4.170E+0	-1.072E-11
4.180E+0	-1.063E-11
4.190E+0	-1.059E-11
4.200E+0	-1.073E-11
