Measured on 11:26:57 04/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-100.000
Comments: 	 1 ret grid, sup grid

Wien voltage (V): 	97.700

Sweep start (kV): 	1.800
Sweep end (kV): 	2.200
Sweep step (V): 	1.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
1.800E+0	2.747E-10
1.801E+0	1.971E-10
1.802E+0	1.971E-10
1.803E+0	1.972E-10
1.804E+0	1.972E-10
1.805E+0	1.970E-10
1.806E+0	1.973E-10
1.807E+0	1.973E-10
1.808E+0	1.972E-10
1.809E+0	1.976E-10
1.810E+0	1.985E-10
1.811E+0	1.982E-10
1.812E+0	1.980E-10
1.813E+0	1.983E-10
1.814E+0	1.983E-10
1.815E+0	1.979E-10
1.816E+0	1.982E-10
1.817E+0	1.986E-10
1.818E+0	1.985E-10
1.819E+0	1.984E-10
1.820E+0	1.984E-10
1.821E+0	1.986E-10
1.822E+0	1.990E-10
1.823E+0	1.983E-10
1.824E+0	1.986E-10
1.825E+0	1.992E-10
1.826E+0	1.986E-10
1.827E+0	1.986E-10
1.828E+0	1.991E-10
1.829E+0	1.986E-10
1.830E+0	1.986E-10
1.831E+0	1.989E-10
1.832E+0	1.991E-10
1.833E+0	1.993E-10
1.834E+0	1.987E-10
1.835E+0	1.993E-10
1.836E+0	1.993E-10
1.837E+0	1.992E-10
1.838E+0	1.992E-10
1.839E+0	1.997E-10
1.840E+0	1.995E-10
1.841E+0	1.995E-10
1.842E+0	1.997E-10
1.843E+0	1.995E-10
1.844E+0	1.993E-10
1.845E+0	1.989E-10
1.846E+0	1.994E-10
1.847E+0	1.995E-10
1.848E+0	1.997E-10
1.849E+0	1.999E-10
1.850E+0	2.001E-10
1.851E+0	1.999E-10
1.852E+0	1.999E-10
1.853E+0	1.999E-10
1.854E+0	2.001E-10
1.855E+0	1.996E-10
1.856E+0	1.993E-10
1.857E+0	1.999E-10
1.858E+0	1.999E-10
1.859E+0	1.998E-10
1.860E+0	1.999E-10
1.861E+0	1.998E-10
1.862E+0	1.995E-10
1.863E+0	1.995E-10
1.864E+0	2.000E-10
1.865E+0	2.005E-10
1.866E+0	2.003E-10
1.867E+0	2.000E-10
1.868E+0	2.007E-10
1.869E+0	2.007E-10
1.870E+0	2.005E-10
1.871E+0	2.000E-10
1.872E+0	2.006E-10
1.873E+0	2.003E-10
1.874E+0	1.997E-10
1.875E+0	2.000E-10
1.876E+0	2.004E-10
1.877E+0	2.004E-10
1.878E+0	1.999E-10
1.879E+0	2.004E-10
1.880E+0	2.007E-10
1.881E+0	2.006E-10
1.882E+0	2.002E-10
1.883E+0	2.004E-10
1.884E+0	2.014E-10
1.885E+0	2.007E-10
1.886E+0	2.003E-10
1.887E+0	2.007E-10
1.888E+0	2.006E-10
1.889E+0	2.008E-10
1.890E+0	2.004E-10
1.891E+0	2.012E-10
1.892E+0	2.013E-10
1.893E+0	2.014E-10
1.894E+0	2.012E-10
1.895E+0	2.015E-10
1.896E+0	2.013E-10
1.897E+0	2.010E-10
1.898E+0	2.014E-10
1.899E+0	2.017E-10
1.900E+0	2.010E-10
1.901E+0	2.014E-10
1.902E+0	2.018E-10
1.903E+0	2.016E-10
1.904E+0	2.014E-10
1.905E+0	2.014E-10
1.906E+0	2.021E-10
1.907E+0	2.020E-10
1.908E+0	2.020E-10
1.909E+0	2.023E-10
1.910E+0	2.024E-10
1.911E+0	2.024E-10
1.912E+0	2.022E-10
1.913E+0	2.023E-10
1.914E+0	2.029E-10
1.915E+0	2.028E-10
1.916E+0	2.023E-10
1.917E+0	2.030E-10
1.918E+0	2.034E-10
1.919E+0	2.028E-10
1.920E+0	2.035E-10
1.921E+0	2.037E-10
1.922E+0	2.036E-10
1.923E+0	2.032E-10
1.924E+0	2.033E-10
1.925E+0	2.036E-10
1.926E+0	2.035E-10
1.927E+0	2.035E-10
1.928E+0	2.039E-10
1.929E+0	2.039E-10
1.930E+0	2.042E-10
1.931E+0	2.037E-10
1.932E+0	2.041E-10
1.933E+0	2.046E-10
1.934E+0	2.042E-10
1.935E+0	2.046E-10
1.936E+0	2.046E-10
1.937E+0	2.042E-10
1.938E+0	2.047E-10
1.939E+0	2.051E-10
1.940E+0	2.056E-10
1.941E+0	2.053E-10
1.942E+0	2.052E-10
1.943E+0	2.052E-10
1.944E+0	2.054E-10
1.945E+0	2.051E-10
1.946E+0	2.054E-10
1.947E+0	2.056E-10
1.948E+0	2.057E-10
1.949E+0	2.059E-10
1.950E+0	2.065E-10
1.951E+0	2.068E-10
1.952E+0	2.064E-10
1.953E+0	2.068E-10
1.954E+0	2.070E-10
1.955E+0	2.075E-10
1.956E+0	2.074E-10
1.957E+0	2.074E-10
1.958E+0	2.079E-10
1.959E+0	2.082E-10
1.960E+0	2.080E-10
1.961E+0	2.079E-10
1.962E+0	2.088E-10
1.963E+0	2.089E-10
1.964E+0	2.089E-10
1.965E+0	2.093E-10
1.966E+0	2.095E-10
1.967E+0	2.097E-10
1.968E+0	2.097E-10
1.969E+0	2.097E-10
1.970E+0	2.107E-10
1.971E+0	2.107E-10
1.972E+0	2.111E-10
1.973E+0	2.112E-10
1.974E+0	2.114E-10
1.975E+0	2.118E-10
1.976E+0	2.119E-10
1.977E+0	2.120E-10
1.978E+0	2.123E-10
1.979E+0	2.121E-10
1.980E+0	2.123E-10
1.981E+0	2.126E-10
1.982E+0	2.127E-10
1.983E+0	2.122E-10
1.984E+0	2.126E-10
1.985E+0	2.131E-10
1.986E+0	2.133E-10
1.987E+0	2.131E-10
1.988E+0	2.128E-10
1.989E+0	2.129E-10
1.990E+0	2.128E-10
1.991E+0	2.126E-10
1.992E+0	2.122E-10
1.993E+0	2.128E-10
1.994E+0	2.126E-10
1.995E+0	2.115E-10
1.996E+0	2.108E-10
1.997E+0	2.112E-10
1.998E+0	2.102E-10
1.999E+0	2.095E-10
2.000E+0	2.092E-10
2.001E+0	2.089E-10
2.002E+0	2.078E-10
2.003E+0	2.067E-10
2.004E+0	2.066E-10
2.005E+0	2.057E-10
2.006E+0	2.048E-10
2.007E+0	2.033E-10
2.008E+0	2.022E-10
2.009E+0	2.019E-10
2.010E+0	2.003E-10
2.011E+0	1.989E-10
2.012E+0	1.977E-10
2.013E+0	1.967E-10
2.014E+0	1.949E-10
2.015E+0	1.937E-10
2.016E+0	1.922E-10
2.017E+0	1.909E-10
2.018E+0	1.891E-10
2.019E+0	1.876E-10
2.020E+0	1.862E-10
2.021E+0	1.844E-10
2.022E+0	1.825E-10
2.023E+0	1.809E-10
2.024E+0	1.788E-10
2.025E+0	1.764E-10
2.026E+0	1.748E-10
2.027E+0	1.729E-10
2.028E+0	1.706E-10
2.029E+0	1.685E-10
2.030E+0	1.671E-10
2.031E+0	1.649E-10
2.032E+0	1.627E-10
2.033E+0	1.602E-10
2.034E+0	1.584E-10
2.035E+0	1.560E-10
2.036E+0	1.533E-10
2.037E+0	1.508E-10
2.038E+0	1.492E-10
2.039E+0	1.465E-10
2.040E+0	1.436E-10
2.041E+0	1.410E-10
2.042E+0	1.381E-10
2.043E+0	1.359E-10
2.044E+0	1.330E-10
2.045E+0	1.302E-10
2.046E+0	1.274E-10
2.047E+0	1.246E-10
2.048E+0	1.215E-10
2.049E+0	1.182E-10
2.050E+0	1.153E-10
2.051E+0	1.124E-10
2.052E+0	1.091E-10
2.053E+0	1.058E-10
2.054E+0	1.026E-10
2.055E+0	9.965E-11
2.056E+0	9.623E-11
2.057E+0	9.277E-11
2.058E+0	8.930E-11
2.059E+0	8.578E-11
2.060E+0	8.280E-11
2.061E+0	7.917E-11
2.062E+0	7.557E-11
2.063E+0	7.180E-11
2.064E+0	6.897E-11
2.065E+0	6.537E-11
2.066E+0	6.155E-11
2.067E+0	5.798E-11
2.068E+0	5.513E-11
2.069E+0	5.141E-11
2.070E+0	4.780E-11
2.071E+0	4.424E-11
2.072E+0	4.079E-11
2.073E+0	3.815E-11
2.074E+0	3.477E-11
2.075E+0	3.138E-11
2.076E+0	2.834E-11
2.077E+0	2.592E-11
2.078E+0	2.305E-11
2.079E+0	2.010E-11
2.080E+0	1.757E-11
2.081E+0	1.572E-11
2.082E+0	1.350E-11
2.083E+0	1.154E-11
2.084E+0	9.557E-12
2.085E+0	8.164E-12
2.086E+0	6.746E-12
2.087E+0	5.490E-12
2.088E+0	4.177E-12
2.089E+0	3.213E-12
2.090E+0	2.716E-12
2.091E+0	1.973E-12
2.092E+0	1.304E-12
2.093E+0	9.132E-13
2.094E+0	7.406E-13
2.095E+0	4.872E-13
2.096E+0	1.661E-13
2.097E+0	1.079E-13
2.098E+0	-1.841E-14
2.099E+0	-2.131E-13
2.100E+0	-1.871E-13
2.101E+0	-1.572E-13
2.102E+0	-3.334E-13
2.103E+0	-2.570E-13
2.104E+0	-2.922E-13
2.105E+0	-3.445E-13
2.106E+0	-3.127E-13
2.107E+0	-2.556E-13
2.108E+0	-3.304E-13
2.109E+0	-3.236E-13
2.110E+0	-2.543E-13
2.111E+0	-3.172E-13
2.112E+0	-3.250E-13
2.113E+0	-2.482E-13
2.114E+0	-3.412E-13
2.115E+0	-3.386E-13
2.116E+0	-2.519E-13
2.117E+0	-2.791E-13
2.118E+0	-3.632E-13
2.119E+0	-1.762E-13
2.120E+0	-2.678E-13
2.121E+0	-3.144E-13
2.122E+0	-2.765E-13
2.123E+0	-2.951E-13
2.124E+0	-3.611E-13
2.125E+0	-2.847E-13
2.126E+0	-1.852E-13
2.127E+0	-3.322E-13
2.128E+0	-4.093E-13
2.129E+0	-2.984E-13
2.130E+0	-2.551E-13
2.131E+0	-4.228E-13
2.132E+0	-3.172E-13
2.133E+0	-2.238E-13
2.134E+0	-3.185E-13
2.135E+0	-2.914E-13
2.136E+0	-2.648E-13
2.137E+0	-3.246E-13
2.138E+0	-3.826E-13
2.139E+0	-3.025E-13
2.140E+0	-2.828E-13
2.141E+0	-4.156E-13
2.142E+0	-2.556E-13
2.143E+0	-2.793E-13
2.144E+0	-4.857E-13
2.145E+0	-3.525E-13
2.146E+0	-3.064E-13
2.147E+0	-3.584E-13
2.148E+0	-3.810E-13
2.149E+0	-2.590E-13
2.150E+0	-2.711E-13
2.151E+0	-2.986E-13
2.152E+0	-3.537E-13
2.153E+0	-2.701E-13
2.154E+0	-3.826E-13
2.155E+0	-2.947E-13
2.156E+0	-2.590E-13
2.157E+0	-3.709E-13
2.158E+0	-3.564E-13
2.159E+0	-2.974E-13
2.160E+0	-3.008E-13
2.161E+0	-4.167E-13
2.162E+0	-2.896E-13
2.163E+0	-3.177E-13
2.164E+0	-3.925E-13
2.165E+0	-2.773E-13
2.166E+0	-3.513E-13
2.167E+0	-4.193E-13
2.168E+0	-2.096E-13
2.169E+0	-2.615E-13
