Measured on 10:34:18 06/12/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	0.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	50.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.925E-10
5.000E-2	3.128E-10
1.000E-1	3.170E-10
1.500E-1	3.222E-10
2.000E-1	3.278E-10
2.500E-1	3.331E-10
3.000E-1	3.387E-10
3.500E-1	3.439E-10
4.000E-1	3.486E-10
4.500E-1	3.538E-10
5.000E-1	3.581E-10
5.500E-1	3.628E-10
6.000E-1	3.673E-10
6.500E-1	3.721E-10
7.000E-1	3.766E-10
7.500E-1	3.811E-10
8.000E-1	3.861E-10
8.500E-1	3.906E-10
9.000E-1	3.953E-10
9.500E-1	3.992E-10
1.000E+0	4.031E-10
1.050E+0	4.071E-10
1.100E+0	4.107E-10
1.150E+0	4.142E-10
1.200E+0	4.174E-10
1.250E+0	4.209E-10
1.300E+0	4.242E-10
1.350E+0	4.274E-10
1.400E+0	4.309E-10
1.450E+0	4.345E-10
1.500E+0	4.381E-10
1.550E+0	4.408E-10
1.600E+0	4.432E-10
1.650E+0	4.464E-10
1.700E+0	4.491E-10
1.750E+0	4.525E-10
1.800E+0	4.574E-10
1.850E+0	4.615E-10
1.900E+0	4.653E-10
1.950E+0	4.695E-10
2.000E+0	4.744E-10
2.050E+0	4.778E-10
2.100E+0	4.811E-10
2.150E+0	4.840E-10
2.200E+0	4.867E-10
2.250E+0	4.894E-10
2.300E+0	4.930E-10
2.350E+0	4.962E-10
2.400E+0	4.998E-10
2.450E+0	5.046E-10
2.500E+0	5.084E-10
2.550E+0	5.118E-10
2.600E+0	5.161E-10
2.650E+0	5.212E-10
2.700E+0	5.250E-10
2.750E+0	5.295E-10
2.800E+0	5.336E-10
2.850E+0	5.365E-10
2.900E+0	5.377E-10
2.950E+0	5.414E-10
3.000E+0	5.446E-10
3.050E+0	5.475E-10
3.100E+0	5.505E-10
3.150E+0	5.542E-10
3.200E+0	5.572E-10
3.250E+0	5.611E-10
3.300E+0	5.670E-10
3.350E+0	5.716E-10
3.400E+0	5.755E-10
3.450E+0	5.810E-10
3.500E+0	5.871E-10
3.550E+0	5.927E-10
3.600E+0	5.995E-10
3.650E+0	6.080E-10
3.700E+0	6.170E-10
3.750E+0	6.258E-10
3.800E+0	6.376E-10
3.850E+0	6.530E-10
3.900E+0	6.727E-10
3.950E+0	6.478E-10
4.000E+0	4.611E-10
4.050E+0	1.581E-10
4.100E+0	-3.917E-11
4.150E+0	-3.837E-11
4.200E+0	-3.724E-11
