Measured on 10:38:11 06/12/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	4000.000
Extractor (%): 	96.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-20.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	135.400

Sweep start (kV): 	0.000
Sweep end (kV): 	4.200
Sweep step (V): 	50.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.521E-10
5.000E-2	3.118E-10
1.000E-1	3.144E-10
1.500E-1	3.194E-10
2.000E-1	3.258E-10
2.500E-1	3.318E-10
3.000E-1	3.377E-10
3.500E-1	3.437E-10
4.000E-1	3.490E-10
4.500E-1	3.537E-10
5.000E-1	3.589E-10
5.500E-1	3.641E-10
6.000E-1	3.693E-10
6.500E-1	3.745E-10
7.000E-1	3.787E-10
7.500E-1	3.831E-10
8.000E-1	3.878E-10
8.500E-1	3.925E-10
9.000E-1	3.969E-10
9.500E-1	4.010E-10
1.000E+0	4.050E-10
1.050E+0	4.088E-10
1.100E+0	4.119E-10
1.150E+0	4.152E-10
1.200E+0	4.184E-10
1.250E+0	4.224E-10
1.300E+0	4.258E-10
1.350E+0	4.295E-10
1.400E+0	4.326E-10
1.450E+0	4.361E-10
1.500E+0	4.389E-10
1.550E+0	4.416E-10
1.600E+0	4.445E-10
1.650E+0	4.467E-10
1.700E+0	4.490E-10
1.750E+0	4.529E-10
1.800E+0	4.581E-10
1.850E+0	4.612E-10
1.900E+0	4.649E-10
1.950E+0	4.696E-10
2.000E+0	4.736E-10
2.050E+0	4.771E-10
2.100E+0	4.808E-10
2.150E+0	4.833E-10
2.200E+0	4.854E-10
2.250E+0	4.887E-10
2.300E+0	4.928E-10
2.350E+0	4.950E-10
2.400E+0	4.987E-10
2.450E+0	5.040E-10
2.500E+0	5.077E-10
2.550E+0	5.110E-10
2.600E+0	5.153E-10
2.650E+0	5.205E-10
2.700E+0	5.247E-10
2.750E+0	5.282E-10
2.800E+0	5.317E-10
2.850E+0	5.350E-10
2.900E+0	5.373E-10
2.950E+0	5.405E-10
3.000E+0	5.430E-10
3.050E+0	5.463E-10
3.100E+0	5.493E-10
3.150E+0	5.519E-10
3.200E+0	5.554E-10
3.250E+0	5.594E-10
3.300E+0	5.645E-10
3.350E+0	5.691E-10
3.400E+0	5.745E-10
3.450E+0	5.784E-10
3.500E+0	5.842E-10
3.550E+0	5.910E-10
3.600E+0	5.975E-10
3.650E+0	6.051E-10
3.700E+0	6.140E-10
3.750E+0	6.235E-10
3.800E+0	6.353E-10
3.850E+0	6.499E-10
3.900E+0	6.701E-10
3.950E+0	6.460E-10
4.000E+0	4.605E-10
4.050E+0	1.606E-10
4.100E+0	-3.755E-11
4.150E+0	-3.670E-11
4.200E+0	-3.569E-11
