Measured on 11:49:06 06/12/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-500.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	97.700

Sweep start (kV): 	0.000
Sweep end (kV): 	2.200
Sweep step (V): 	25.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	2.354E-10
2.500E-2	2.356E-10
5.000E-2	2.354E-10
7.500E-2	2.365E-10
1.000E-1	2.364E-10
1.250E-1	2.360E-10
1.500E-1	2.357E-10
1.750E-1	2.369E-10
2.000E-1	2.369E-10
2.250E-1	2.364E-10
2.500E-1	2.369E-10
2.750E-1	2.371E-10
3.000E-1	2.367E-10
3.250E-1	2.372E-10
3.500E-1	2.371E-10
3.750E-1	2.373E-10
4.000E-1	2.370E-10
4.250E-1	2.373E-10
4.500E-1	2.376E-10
4.750E-1	2.373E-10
5.000E-1	2.378E-10
5.250E-1	2.383E-10
5.500E-1	2.380E-10
5.750E-1	2.378E-10
6.000E-1	2.377E-10
6.250E-1	2.382E-10
6.500E-1	2.386E-10
6.750E-1	2.385E-10
7.000E-1	2.390E-10
7.250E-1	2.396E-10
7.500E-1	2.395E-10
7.750E-1	2.407E-10
8.000E-1	2.428E-10
8.250E-1	2.450E-10
8.500E-1	2.496E-10
8.750E-1	2.541E-10
9.000E-1	2.592E-10
9.250E-1	2.646E-10
9.500E-1	2.698E-10
9.750E-1	2.745E-10
1.000E+0	2.791E-10
1.025E+0	2.833E-10
1.050E+0	2.866E-10
1.075E+0	2.910E-10
1.100E+0	2.952E-10
1.125E+0	2.997E-10
1.150E+0	3.048E-10
1.175E+0	3.092E-10
1.200E+0	3.143E-10
1.225E+0	3.164E-10
1.250E+0	3.182E-10
1.275E+0	3.212E-10
1.300E+0	3.233E-10
1.325E+0	3.249E-10
1.350E+0	3.287E-10
1.375E+0	3.323E-10
1.400E+0	3.344E-10
1.425E+0	3.367E-10
1.450E+0	3.405E-10
1.475E+0	3.409E-10
1.500E+0	3.425E-10
1.525E+0	3.454E-10
1.550E+0	3.465E-10
1.575E+0	3.481E-10
1.600E+0	3.509E-10
1.625E+0	3.544E-10
1.650E+0	3.564E-10
1.675E+0	3.587E-10
1.700E+0	3.614E-10
1.725E+0	3.656E-10
1.750E+0	3.678E-10
1.775E+0	3.721E-10
1.800E+0	3.768E-10
1.825E+0	3.804E-10
1.850E+0	3.851E-10
1.875E+0	3.905E-10
1.900E+0	3.957E-10
1.925E+0	4.005E-10
1.950E+0	4.091E-10
1.975E+0	4.204E-10
2.000E+0	4.198E-10
2.025E+0	3.436E-10
2.050E+0	1.781E-10
2.075E+0	1.496E-12
2.100E+0	-2.406E-11
2.125E+0	-2.349E-11
2.150E+0	-2.407E-11
2.175E+0	-2.408E-11
2.200E+0	-2.388E-11
