Measured on 13:58:26 06/12/2024
Operated by: 	 Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	1000.000
Extractor (%): 	99.000
Focus 1 (%): 	67.000
Focus 2 (%): 	6.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-300.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	69.000

Sweep start (kV): 	0.000
Sweep end (kV): 	1.100
Sweep step (V): 	15.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
0.000E+0	7.177E-12
1.500E-2	7.140E-12
3.000E-2	7.029E-12
4.500E-2	7.168E-12
6.000E-2	7.019E-12
7.500E-2	7.145E-12
9.000E-2	7.071E-12
1.050E-1	7.361E-12
1.200E-1	6.985E-12
1.350E-1	6.963E-12
1.500E-1	7.169E-12
1.650E-1	7.135E-12
1.800E-1	7.100E-12
1.950E-1	7.151E-12
2.100E-1	7.216E-12
2.250E-1	7.190E-12
2.400E-1	7.136E-12
2.550E-1	7.187E-12
2.700E-1	7.155E-12
2.850E-1	7.159E-12
3.000E-1	7.206E-12
3.150E-1	7.161E-12
3.300E-1	7.132E-12
3.450E-1	7.201E-12
3.600E-1	7.274E-12
3.750E-1	7.218E-12
3.900E-1	7.216E-12
4.050E-1	7.193E-12
4.200E-1	7.222E-12
4.350E-1	7.212E-12
4.500E-1	7.214E-12
4.650E-1	7.233E-12
4.800E-1	7.297E-12
4.950E-1	7.337E-12
5.100E-1	7.422E-12
5.250E-1	7.457E-12
5.400E-1	7.518E-12
5.550E-1	7.532E-12
5.700E-1	7.692E-12
5.850E-1	7.716E-12
6.000E-1	7.763E-12
6.150E-1	7.799E-12
6.300E-1	7.888E-12
6.450E-1	7.907E-12
6.600E-1	8.003E-12
6.750E-1	8.123E-12
6.900E-1	8.072E-12
7.050E-1	8.127E-12
7.200E-1	8.166E-12
7.350E-1	8.174E-12
7.500E-1	8.269E-12
7.650E-1	8.316E-12
7.800E-1	8.333E-12
7.950E-1	8.431E-12
8.100E-1	8.491E-12
8.250E-1	8.608E-12
8.400E-1	8.601E-12
8.550E-1	8.652E-12
8.700E-1	8.789E-12
8.850E-1	8.940E-12
9.000E-1	9.004E-12
9.150E-1	9.119E-12
9.300E-1	9.217E-12
9.450E-1	9.483E-12
9.600E-1	9.663E-12
9.750E-1	9.970E-12
9.900E-1	8.672E-12
1.005E+0	4.175E-12
1.020E+0	-5.204E-13
1.035E+0	-6.370E-13
1.050E+0	-5.618E-13
1.065E+0	-5.818E-13
1.080E+0	-5.878E-13
1.095E+0	-5.706E-13
