Measured on 11:59:35 06/12/2024
Operated by: 	Ennio Kristof
Comments: 	 
Projectile: 	 Ar

Energy (V): 	2000.000
Extractor (%): 	98.000
Focus 1 (%): 	67.000
Focus 2 (%): 	0.000
Emission (uA): 	10000.000
Pox X (um): 	0.000
Width X (um): 	0.000
Pos Y (um): 	0.000
Width Y (um): 	0.000
Time per dot (us): 	50.000

RFA#: 	2.000
x (mm): 	12.500
y (mm): 	12.500
z (mm): 	30.000
Suppressor voltage (V): 	-500.000
Comments: 	 2 grid retar, no grid big diameter supp.

Wien voltage (V): 	97.700

Sweep start (kV): 	1.800
Sweep end (kV): 	2.200
Sweep step (V): 	1.000
Measurement time (s): 	0.100
Integration time (s): 	0.100
PLC: 	5.000
Points per step: 	1.000

Retading voltage (kV)	Mean current FC (A)
1.800E+0	4.585E-10
1.801E+0	3.729E-10
1.802E+0	3.729E-10
1.803E+0	3.739E-10
1.804E+0	3.735E-10
1.805E+0	3.727E-10
1.806E+0	3.742E-10
1.807E+0	3.750E-10
1.808E+0	3.747E-10
1.809E+0	3.745E-10
1.810E+0	3.761E-10
1.811E+0	3.759E-10
1.812E+0	3.765E-10
1.813E+0	3.756E-10
1.814E+0	3.770E-10
1.815E+0	3.775E-10
1.816E+0	3.778E-10
1.817E+0	3.784E-10
1.818E+0	3.781E-10
1.819E+0	3.768E-10
1.820E+0	3.775E-10
1.821E+0	3.786E-10
1.822E+0	3.782E-10
1.823E+0	3.790E-10
1.824E+0	3.792E-10
1.825E+0	3.799E-10
1.826E+0	3.801E-10
1.827E+0	3.793E-10
1.828E+0	3.799E-10
1.829E+0	3.797E-10
1.830E+0	3.807E-10
1.831E+0	3.797E-10
1.832E+0	3.803E-10
1.833E+0	3.804E-10
1.834E+0	3.808E-10
1.835E+0	3.809E-10
1.836E+0	3.808E-10
1.837E+0	3.808E-10
1.838E+0	3.821E-10
1.839E+0	3.827E-10
1.840E+0	3.814E-10
1.841E+0	3.829E-10
1.842E+0	3.828E-10
1.843E+0	3.827E-10
1.844E+0	3.830E-10
1.845E+0	3.829E-10
1.846E+0	3.828E-10
1.847E+0	3.829E-10
1.848E+0	3.817E-10
1.849E+0	3.835E-10
1.850E+0	3.839E-10
1.851E+0	3.832E-10
1.852E+0	3.836E-10
1.853E+0	3.846E-10
1.854E+0	3.840E-10
1.855E+0	3.840E-10
1.856E+0	3.848E-10
1.857E+0	3.854E-10
1.858E+0	3.852E-10
1.859E+0	3.852E-10
1.860E+0	3.853E-10
1.861E+0	3.863E-10
1.862E+0	3.860E-10
1.863E+0	3.856E-10
1.864E+0	3.875E-10
1.865E+0	3.865E-10
1.866E+0	3.870E-10
1.867E+0	3.865E-10
1.868E+0	3.877E-10
1.869E+0	3.865E-10
1.870E+0	3.871E-10
1.871E+0	3.881E-10
1.872E+0	3.877E-10
1.873E+0	3.878E-10
1.874E+0	3.882E-10
1.875E+0	3.877E-10
1.876E+0	3.886E-10
1.877E+0	3.881E-10
1.878E+0	3.906E-10
1.879E+0	3.901E-10
1.880E+0	3.892E-10
1.881E+0	3.895E-10
1.882E+0	3.890E-10
1.883E+0	3.881E-10
1.884E+0	3.889E-10
1.885E+0	3.884E-10
1.886E+0	3.890E-10
1.887E+0	3.905E-10
1.888E+0	3.900E-10
1.889E+0	3.908E-10
1.890E+0	3.918E-10
1.891E+0	3.923E-10
1.892E+0	3.915E-10
1.893E+0	3.927E-10
1.894E+0	3.933E-10
1.895E+0	3.931E-10
1.896E+0	3.929E-10
1.897E+0	3.945E-10
1.898E+0	3.946E-10
1.899E+0	3.936E-10
1.900E+0	3.939E-10
1.901E+0	3.945E-10
1.902E+0	3.947E-10
1.903E+0	3.948E-10
1.904E+0	3.952E-10
1.905E+0	3.964E-10
1.906E+0	3.957E-10
1.907E+0	3.953E-10
1.908E+0	3.978E-10
1.909E+0	3.965E-10
1.910E+0	3.953E-10
1.911E+0	3.955E-10
1.912E+0	3.957E-10
1.913E+0	3.952E-10
1.914E+0	3.958E-10
1.915E+0	3.970E-10
1.916E+0	3.974E-10
1.917E+0	3.973E-10
1.918E+0	3.977E-10
1.919E+0	3.972E-10
1.920E+0	3.975E-10
1.921E+0	3.972E-10
1.922E+0	3.986E-10
1.923E+0	3.992E-10
1.924E+0	3.978E-10
1.925E+0	3.992E-10
1.926E+0	4.003E-10
1.927E+0	3.991E-10
1.928E+0	4.006E-10
1.929E+0	4.000E-10
1.930E+0	4.012E-10
1.931E+0	4.018E-10
1.932E+0	4.014E-10
1.933E+0	4.021E-10
1.934E+0	4.030E-10
1.935E+0	4.027E-10
1.936E+0	4.026E-10
1.937E+0	4.027E-10
1.938E+0	4.027E-10
1.939E+0	4.033E-10
1.940E+0	4.039E-10
1.941E+0	4.029E-10
1.942E+0	4.041E-10
1.943E+0	4.053E-10
1.944E+0	4.055E-10
1.945E+0	4.046E-10
1.946E+0	4.055E-10
1.947E+0	4.052E-10
1.948E+0	4.060E-10
1.949E+0	4.061E-10
1.950E+0	4.076E-10
1.951E+0	4.080E-10
1.952E+0	4.075E-10
1.953E+0	4.086E-10
1.954E+0	4.086E-10
1.955E+0	4.096E-10
1.956E+0	4.091E-10
1.957E+0	4.100E-10
1.958E+0	4.117E-10
1.959E+0	4.118E-10
1.960E+0	4.127E-10
1.961E+0	4.139E-10
1.962E+0	4.132E-10
1.963E+0	4.116E-10
1.964E+0	4.132E-10
1.965E+0	4.143E-10
1.966E+0	4.138E-10
1.967E+0	4.151E-10
1.968E+0	4.146E-10
1.969E+0	4.150E-10
1.970E+0	4.150E-10
1.971E+0	4.168E-10
1.972E+0	4.173E-10
1.973E+0	4.175E-10
1.974E+0	4.197E-10
1.975E+0	4.184E-10
1.976E+0	4.180E-10
1.977E+0	4.179E-10
1.978E+0	4.199E-10
1.979E+0	4.201E-10
1.980E+0	4.195E-10
1.981E+0	4.214E-10
1.982E+0	4.214E-10
1.983E+0	4.229E-10
1.984E+0	4.240E-10
1.985E+0	4.242E-10
1.986E+0	4.233E-10
1.987E+0	4.240E-10
1.988E+0	4.242E-10
1.989E+0	4.231E-10
1.990E+0	4.233E-10
1.991E+0	4.229E-10
1.992E+0	4.233E-10
1.993E+0	4.229E-10
1.994E+0	4.225E-10
1.995E+0	4.230E-10
1.996E+0	4.215E-10
1.997E+0	4.210E-10
1.998E+0	4.213E-10
1.999E+0	4.201E-10
2.000E+0	4.194E-10
2.001E+0	4.179E-10
2.002E+0	4.181E-10
2.003E+0	4.159E-10
2.004E+0	4.143E-10
2.005E+0	4.128E-10
2.006E+0	4.086E-10
2.007E+0	4.072E-10
2.008E+0	4.062E-10
2.009E+0	4.041E-10
2.010E+0	4.007E-10
2.011E+0	3.986E-10
2.012E+0	3.959E-10
2.013E+0	3.929E-10
2.014E+0	3.885E-10
2.015E+0	3.858E-10
2.016E+0	3.821E-10
2.017E+0	3.789E-10
2.018E+0	3.759E-10
2.019E+0	3.719E-10
2.020E+0	3.673E-10
2.021E+0	3.639E-10
2.022E+0	3.603E-10
2.023E+0	3.556E-10
2.024E+0	3.494E-10
2.025E+0	3.462E-10
2.026E+0	3.423E-10
2.027E+0	3.360E-10
2.028E+0	3.317E-10
2.029E+0	3.257E-10
2.030E+0	3.205E-10
2.031E+0	3.149E-10
2.032E+0	3.100E-10
2.033E+0	3.033E-10
2.034E+0	2.988E-10
2.035E+0	2.928E-10
2.036E+0	2.859E-10
2.037E+0	2.790E-10
2.038E+0	2.736E-10
2.039E+0	2.674E-10
2.040E+0	2.601E-10
2.041E+0	2.531E-10
2.042E+0	2.466E-10
2.043E+0	2.403E-10
2.044E+0	2.325E-10
2.045E+0	2.250E-10
2.046E+0	2.173E-10
2.047E+0	2.108E-10
2.048E+0	2.027E-10
2.049E+0	1.946E-10
2.050E+0	1.864E-10
2.051E+0	1.797E-10
2.052E+0	1.715E-10
2.053E+0	1.630E-10
2.054E+0	1.549E-10
2.055E+0	1.478E-10
2.056E+0	1.392E-10
2.057E+0	1.307E-10
2.058E+0	1.222E-10
2.059E+0	1.138E-10
2.060E+0	1.073E-10
2.061E+0	9.891E-11
2.062E+0	9.081E-11
2.063E+0	8.240E-11
2.064E+0	7.618E-11
2.065E+0	6.851E-11
2.066E+0	6.057E-11
2.067E+0	5.351E-11
2.068E+0	4.811E-11
2.069E+0	4.089E-11
2.070E+0	3.447E-11
2.071E+0	2.807E-11
2.072E+0	2.224E-11
2.073E+0	1.750E-11
2.074E+0	1.275E-11
2.075E+0	7.980E-12
2.076E+0	3.730E-12
2.077E+0	6.457E-13
2.078E+0	-2.851E-12
2.079E+0	-5.912E-12
2.080E+0	-8.501E-12
2.081E+0	-1.033E-11
2.082E+0	-1.242E-11
2.083E+0	-1.404E-11
2.084E+0	-1.551E-11
2.085E+0	-1.641E-11
2.086E+0	-1.746E-11
2.087E+0	-1.819E-11
2.088E+0	-1.889E-11
2.089E+0	-1.934E-11
2.090E+0	-1.960E-11
2.091E+0	-1.995E-11
2.092E+0	-2.012E-11
2.093E+0	-2.016E-11
2.094E+0	-2.020E-11
2.095E+0	-2.026E-11
2.096E+0	-2.030E-11
2.097E+0	-2.025E-11
2.098E+0	-2.035E-11
2.099E+0	-2.028E-11
2.100E+0	-2.028E-11
2.101E+0	-2.021E-11
2.102E+0	-2.023E-11
2.103E+0	-2.010E-11
2.104E+0	-2.012E-11
2.105E+0	-2.010E-11
2.106E+0	-1.997E-11
2.107E+0	-1.989E-11
2.108E+0	-1.974E-11
2.109E+0	-1.974E-11
2.110E+0	-1.962E-11
2.111E+0	-1.947E-11
2.112E+0	-1.947E-11
2.113E+0	-1.939E-11
2.114E+0	-1.931E-11
2.115E+0	-1.915E-11
2.116E+0	-1.930E-11
2.117E+0	-1.918E-11
2.118E+0	-1.915E-11
2.119E+0	-1.913E-11
2.120E+0	-1.909E-11
2.121E+0	-1.906E-11
2.122E+0	-1.914E-11
2.123E+0	-1.915E-11
2.124E+0	-1.914E-11
2.125E+0	-1.917E-11
2.126E+0	-1.914E-11
2.127E+0	-1.925E-11
2.128E+0	-1.931E-11
2.129E+0	-1.934E-11
2.130E+0	-1.944E-11
2.131E+0	-1.942E-11
2.132E+0	-1.952E-11
2.133E+0	-1.950E-11
2.134E+0	-1.959E-11
2.135E+0	-1.957E-11
2.136E+0	-1.967E-11
2.137E+0	-1.968E-11
2.138E+0	-1.968E-11
2.139E+0	-1.951E-11
2.140E+0	-1.969E-11
2.141E+0	-1.972E-11
2.142E+0	-1.968E-11
